     16,0       60.372.320        100     603.723,0     720.608,0     352.800    2.614.688      317.985,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       30.964.000        100     309.640,0     309.200,0     307.264      350.592       4.259,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       34.514.304        100     345.143,0     344.704,0     341.632      392.032        4.947,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     10,0       30.839.264        100     308.392,0     307.792,0     305.408      350.048        4.422,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       31.143.296        100     311.433,0     310.832,0     309.248      353.952       4.414,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       34.334.560        100     343.345,0     342.912,0     339.680      388.256       4.814,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       39.581.472        100     395.814,0     395.536,0     392.384      443.648        5.016,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     11,0       34.452.864        100     344.528,0     344.416,0     330.048      392.576        5.629,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.440.832        100     314.408,0     313.328,0     310.464      355.776       5.071,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     16,0       69.695.552        100     696.955,0     311.888,0     309.312    4.011.488      983.603,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     19,0       61.539.648        100     615.396,0     745.008,0     359.104      801.792     191.356,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     11,0       37.205.184        100     372.051,0     371.440,0     365.856      418.528        5.163,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     18,0       53.326.624        100     533.266,0     320.768,0     307.392    3.600.736     677.811,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     11,0       32.164.128        100     321.641,0     321.056,0     315.872      361.024        4.738,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       39.507.872        100     395.078,0     394.624,0     392.608      442.752        4.892,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       46.119.424        100     461.194,0     346.240,0     343.200    2.424.960      408.245,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       33.489.856        100     334.898,0     322.592,0     317.728      405.184      17.948,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       81.706.528        100     817.065,0     773.072,0     358.112    4.144.160      655.943,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       30.980.640        100     309.806,0     309.600,0     306.432      351.040       4.426,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       33.494.688        100     334.946,0     321.120,0     315.232      421.088      23.908,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       60.986.592        100     609.865,0     722.208,0     355.040      781.152     181.311,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       31.128.224        100     311.282,0     310.672,0     308.896      353.152        4.377,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     11,0       33.136.192        100     331.361,0     325.584,0     305.664      356.096       19.011,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     10,0       31.087.936        100     310.879,0     310.448,0     308.224      355.072        4.575,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     18,0       68.735.872        100     687.358,0     737.920,0     355.200      873.088      148.382,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
