40,0 96.391.264 100 963.912,0 753.456,0 366.048 4.170.976 874.004,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 38.954.720 100 389.547,0 394.192,0 318.592 445.984 18.336,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 38.331.232 100 383.312,0 393.856,0 357.056 463.552 17.771,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 72.704.960 100 727.049,0 745.808,0 358.880 858.272 104.502,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 31.144.640 100 311.446,0 310.944,0 309.248 354.720 4.463,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
39,0 31.186.880 100 311.868,0 311.024,0 308.896 376.832 6.681,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 73.462.336 100 734.623,0 756.768,0 357.472 4.378.272 559.351,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
39,0 32.622.400 100 326.224,0 320.368,0 316.704 422.240 19.386,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 39.137.216 100 391.372,0 394.960,0 318.944 446.400 16.683,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 73.484.000 100 734.840,0 713.248,0 684.096 2.808.928 209.921,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 73.028.608 100 730.286,0 727.728,0 702.464 796.128 16.672,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 34.616.384 100 346.163,0 355.600,0 314.304 410.720 18.859,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 34.580.384 100 345.803,0 318.224,0 315.456 441.696 36.949,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
37,0 31.204.800 100 312.048,0 311.456,0 308.896 361.728 5.177,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
37,0 31.053.984 100 310.539,0 309.824,0 307.328 354.464 4.627,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
