1,0 5.173.504 100 51.735,0 46.816,0 38.848 78.976 13.378,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.375.744 100 53.757,0 47.184,0 38.752 79.968 11.782,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.480.416 100 54.804,0 48.448,0 40.192 80.864 12.403,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.328.864 100 63.288,0 70.336,0 48.032 82.496 13.029,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.111.328 100 61.113,0 57.488,0 45.184 80.064 12.496,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.523.744 100 75.237,0 75.136,0 73.824 80.128 741,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.083.424 100 50.834,0 50.784,0 49.504 55.296 802,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.347.040 100 63.470,0 73.120,0 46.880 79.616 12.329,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.642.240 100 56.422,0 49.504,0 46.848 81.120 11.715,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.201.568 100 62.015,0 58.384,0 47.776 81.472 12.775,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.744.416 100 67.444,0 71.776,0 44.608 80.608 9.610,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.417.280 100 54.172,0 47.568,0 39.648 81.312 12.696,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.033.504 100 60.335,0 57.344,0 44.800 81.952 12.987,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.191.456 100 61.914,0 72.336,0 46.592 81.568 12.489,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.153.088 100 61.530,0 51.104,0 49.472 81.536 13.506,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.565.472 100 75.654,0 77.312,0 58.272 82.656 5.161,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.755.264 100 57.552,0 52.272,0 42.976 81.632 12.454,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.118.208 100 61.182,0 58.656,0 41.728 79.136 14.571,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.198.592 100 61.985,0 71.152,0 45.888 80.992 12.116,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.926.592 100 49.265,0 49.216,0 47.456 56.160 955,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.614.848 100 76.148,0 76.080,0 74.144 80.960 1.003,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.502.496 100 75.025,0 74.976,0 73.792 80.256 775,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.159.168 100 71.591,0 72.080,0 54.912 82.208 3.523,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.420.800 100 74.208,0 74.144,0 72.960 81.920 966,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.279.808 100 52.798,0 54.528,0 40.832 57.088 4.602,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.359.296 100 63.593,0 71.152,0 47.072 81.760 13.073,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.038.176 100 70.381,0 77.280,0 48.896 81.568 11.809,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.371.872 100 63.718,0 62.432,0 41.856 81.184 14.827,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.724.960 100 67.249,0 77.344,0 49.056 81.664 13.141,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.229.856 100 62.298,0 70.128,0 46.464 81.056 12.526,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.672.160 100 66.721,0 73.600,0 47.232 80.128 11.308,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.752.576 100 57.525,0 48.832,0 39.904 80.288 13.959,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.883.360 100 58.833,0 51.360,0 46.208 80.160 12.425,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.461.568 100 54.615,0 47.984,0 44.064 80.960 12.257,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.818.368 100 58.183,0 53.088,0 52.192 81.440 8.559,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.447.072 100 54.470,0 47.776,0 38.624 79.552 11.834,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.996.224 100 59.962,0 55.776,0 44.864 80.192 12.649,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.853.792 100 58.537,0 55.280,0 46.016 83.232 12.310,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.192.224 100 71.922,0 71.824,0 70.624 80.448 1.038,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.572.640 100 55.726,0 47.680,0 39.360 82.784 14.167,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.570.624 100 75.706,0 75.600,0 74.560 81.824 890,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.156.704 100 61.567,0 68.704,0 46.592 81.920 12.515,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.742.112 100 57.421,0 51.664,0 39.200 81.376 14.151,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.319.008 100 53.190,0 48.080,0 39.808 79.584 13.195,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.498.016 100 54.980,0 50.048,0 41.824 80.960 13.519,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.578.048 100 65.780,0 74.160,0 48.096 82.656 11.991,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.261.056 100 72.610,0 72.544,0 71.040 81.376 1.126,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.610.464 100 56.104,0 47.888,0 44.288 80.704 11.703,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.456.160 100 54.561,0 49.024,0 40.800 81.408 14.220,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.527.680 100 75.276,0 75.232,0 73.856 81.152 795,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.665.408 100 66.654,0 74.480,0 47.712 81.920 11.806,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.043.392 100 60.433,0 56.608,0 46.944 76.352 12.685,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.050.624 100 60.506,0 55.248,0 40.448 81.888 13.570,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.001.568 100 60.015,0 57.344,0 46.688 83.808 12.369,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.039.008 100 60.390,0 70.384,0 41.472 81.984 12.288,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.510.400 100 65.104,0 73.328,0 46.272 81.568 11.962,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.575.360 100 75.753,0 75.760,0 74.080 81.600 974,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.241.376 100 62.413,0 72.400,0 39.808 82.304 12.818,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.744.896 100 67.449,0 73.216,0 46.880 81.760 10.562,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.812.192 100 58.121,0 49.248,0 39.936 80.992 14.202,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.802.240 100 58.022,0 55.120,0 38.752 82.976 13.561,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.150.464 100 61.504,0 69.232,0 40.352 79.168 13.183,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.234.592 100 72.345,0 72.320,0 67.136 81.184 1.389,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.541.248 100 55.412,0 47.120,0 43.264 81.152 12.582,0 CUDA_KERNEL prepare(long, float *, float *, float *)
