4,0 21.413.376 200 107.066,0 104.624,0 22.720 234.912 80.360,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 23.060.768 200 115.303,0 96.416,0 27.296 235.456 85.160,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.900.192 200 99.501,0 83.760,0 22.592 234.944 75.513,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.688.832 200 123.444,0 97.072,0 27.552 235.616 89.531,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.536.896 200 107.684,0 83.488,0 22.464 235.008 81.282,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.269.024 200 101.345,0 83.328,0 22.432 235.200 76.767,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.955.040 200 104.775,0 92.064,0 25.952 235.872 77.889,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.964.064 200 139.820,0 139.488,0 43.040 237.056 95.182,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.681.376 200 108.406,0 83.696,0 22.624 235.616 81.504,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.328.928 200 106.644,0 91.616,0 25.696 235.776 79.309,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.106.720 200 100.533,0 83.760,0 22.432 234.944 76.560,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.572.512 200 97.862,0 83.888,0 22.656 235.456 74.584,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.787.520 200 103.937,0 83.568,0 22.496 234.848 78.808,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.432.736 200 102.163,0 83.632,0 22.400 234.688 77.929,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.834.400 200 124.172,0 97.248,0 27.552 235.776 89.760,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.031.712 200 120.158,0 97.136,0 27.488 235.808 87.773,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.569.280 200 112.846,0 97.200,0 27.520 235.328 83.272,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.676.320 200 103.381,0 83.872,0 22.432 234.784 78.753,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.125.088 200 100.625,0 83.808,0 22.688 235.520 75.912,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.736.128 200 133.680,0 98.384,0 27.744 235.968 93.796,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.155.936 200 115.779,0 92.336,0 25.984 235.360 85.313,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.991.200 200 134.956,0 111.520,0 27.488 236.032 94.237,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.526.720 200 117.633,0 97.008,0 27.488 235.744 86.275,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.626.752 200 138.133,0 137.728,0 42.560 235.456 95.541,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.719.040 200 138.595,0 138.080,0 42.784 236.192 95.695,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.248.960 200 126.244,0 119.696,0 27.424 235.104 90.364,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.855.936 200 104.279,0 83.568,0 22.720 236.256 79.218,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.625.504 200 138.127,0 137.680,0 42.368 234.880 95.649,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.129.440 200 100.647,0 83.568,0 22.368 234.816 76.919,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.691.232 200 138.456,0 137.984,0 42.944 235.840 95.415,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.287.776 200 101.438,0 92.048,0 25.952 234.976 75.543,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 23.008.672 200 115.043,0 97.184,0 27.552 234.880 84.721,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 24.477.984 200 122.389,0 96.928,0 27.328 235.392 89.007,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
