0,0 20.000 2 10.000,0 10.000,0 9.088 10.912 1.289,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 9.632 10.432 565,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.992 2 10.496,0 10.496,0 9.280 11.712 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.256 2 10.128,0 10.128,0 9.504 10.752 882,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 9.280 10.784 1.063,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 9.216 10.848 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.320 2 10.160,0 10.160,0 9.344 10.976 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 9.184 11.264 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.768 2 10.384,0 10.384,0 9.536 11.232 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.000 2 10.000,0 10.000,0 9.248 10.752 1.063,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 9.024 10.752 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.816 2 9.408,0 9.408,0 9.248 9.568 226,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.152 2 10.576,0 10.576,0 9.216 11.936 1.923,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.800 2 10.400,0 10.400,0 9.888 10.912 724,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 25.824 2 12.912,0 12.912,0 11.232 14.592 2.375,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.672 2 10.336,0 10.336,0 9.088 11.584 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.528 2 9.264,0 9.264,0 9.088 9.440 248,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.592 2 9.296,0 9.296,0 9.248 9.344 67,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.752 2 9.376,0 9.376,0 9.120 9.632 362,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.264 2 9.632,0 9.632,0 9.312 9.952 452,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.480 2 10.240,0 10.240,0 9.056 11.424 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.800 2 10.400,0 10.400,0 9.152 11.648 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.080 2 11.040,0 11.040,0 10.368 11.712 950,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.416 2 10.208,0 10.208,0 9.312 11.104 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.800 2 10.400,0 10.400,0 9.184 11.616 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.160 2 10.080,0 10.080,0 9.088 11.072 1.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 25.184 2 12.592,0 12.592,0 11.488 13.696 1.561,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.440 2 10.720,0 10.720,0 10.304 11.136 588,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.120 2 10.560,0 10.560,0 9.248 11.872 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 25.184 2 12.592,0 12.592,0 11.328 13.856 1.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.696 2 10.848,0 10.848,0 9.888 11.808 1.357,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.192 2 10.096,0 10.096,0 9.152 11.040 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 24.512 2 12.256,0 12.256,0 11.520 12.992 1.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 25.600 2 12.800,0 12.800,0 11.936 13.664 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.864 2 10.432,0 10.432,0 9.216 11.648 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.936 2 9.968,0 9.968,0 9.184 10.752 1.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
