2,0 90.784 2 45.392,0 45.392,0 41.152 49.632 5.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.176 2 45.088,0 45.088,0 41.184 48.992 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.144 2 45.072,0 45.072,0 41.120 49.024 5.589,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.080 2 45.040,0 45.040,0 41.152 48.928 5.498,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 66.912 2 33.456,0 33.456,0 30.880 36.032 3.643,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.688 2 45.344,0 45.344,0 41.248 49.440 5.792,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.232 2 33.616,0 33.616,0 31.040 36.192 3.643,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 89.920 2 44.960,0 44.960,0 41.120 48.800 5.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.240 2 45.120,0 45.120,0 41.216 49.024 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.680 2 45.840,0 45.840,0 41.920 49.760 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.784 2 45.392,0 45.392,0 41.856 48.928 5.000,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.560 2 45.280,0 45.280,0 41.216 49.344 5.747,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.328 2 45.664,0 45.664,0 41.984 49.344 5.204,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.656 2 45.328,0 45.328,0 41.728 48.928 5.091,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.336 2 45.168,0 45.168,0 41.472 48.864 5.226,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.104 2 45.552,0 45.552,0 41.216 49.888 6.132,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.240 2 45.120,0 45.120,0 41.120 49.120 5.656,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.016 2 45.008,0 45.008,0 41.056 48.960 5.589,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.080 2 45.040,0 45.040,0 41.184 48.896 5.453,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.944 2 45.472,0 45.472,0 41.120 49.824 6.154,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.688 2 45.344,0 45.344,0 41.728 48.960 5.113,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.592 2 45.296,0 45.296,0 41.504 49.088 5.362,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.008 2 45.504,0 45.504,0 41.504 49.504 5.656,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.528 2 45.264,0 45.264,0 41.056 49.472 5.951,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.240 2 45.120,0 45.120,0 41.312 48.928 5.385,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.592 2 45.296,0 45.296,0 41.760 48.832 5.000,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.072 2 45.536,0 45.536,0 41.632 49.440 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.720 2 45.360,0 45.360,0 41.664 49.056 5.226,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.144 2 45.072,0 45.072,0 41.216 48.928 5.453,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.208 2 45.104,0 45.104,0 41.152 49.056 5.589,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
