36,0 59.152.704 127 465.769,0 349.600,0 4.416 1.421.856 432.554,0 CUDA_KERNEL lud_internal(float *, int, int)
35,0 59.047.360 127 464.939,0 315.680,0 3.840 1.405.376 432.042,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.717.408 127 470.215,0 334.208,0 3.872 1.410.080 437.444,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 62.110.112 127 489.056,0 349.440,0 3.840 2.883.904 495.947,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 64.710.976 127 509.535,0 341.696,0 3.808 3.445.088 566.216,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.021.120 127 472.607,0 330.048,0 3.840 1.403.008 436.892,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 69.028.192 127 543.529,0 348.256,0 3.840 3.219.872 637.529,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.865.600 127 471.382,0 332.512,0 3.840 1.409.024 439.081,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.271.296 127 466.703,0 335.744,0 3.808 1.419.424 433.326,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.332.224 127 467.182,0 344.608,0 3.840 1.401.760 432.978,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.266.112 127 466.662,0 325.184,0 3.840 1.406.400 433.119,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.111.008 127 465.441,0 318.720,0 3.872 1.418.112 432.307,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.807.328 127 470.923,0 332.608,0 3.872 1.406.240 436.685,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.824.128 127 471.056,0 329.536,0 3.808 1.407.520 437.159,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.472.960 127 468.291,0 338.144,0 4.032 1.407.712 435.582,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.104.352 127 473.262,0 335.808,0 3.840 1.404.384 437.148,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.352.992 127 467.346,0 320.480,0 3.808 1.406.176 434.154,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 114.133.952 127 898.692,0 645.376,0 7.584 2.701.280 831.360,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.833.984 127 896.330,0 640.736,0 7.936 2.682.048 828.779,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.036.928 127 890.054,0 633.184,0 7.360 2.677.344 819.925,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.062.688 127 890.257,0 644.800,0 6.976 2.669.952 820.340,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.953.440 127 889.397,0 623.200,0 6.880 2.651.200 820.669,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.883.648 127 888.847,0 619.328,0 8.096 2.677.280 821.320,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.190.752 127 891.265,0 601.632,0 6.720 2.673.312 827.710,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.376.960 127 892.732,0 628.544,0 8.064 2.664.352 822.770,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.938.176 127 889.277,0 612.992,0 6.848 2.668.512 820.496,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.674.944 127 895.078,0 640.192,0 8.256 2.673.632 824.427,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.824.576 127 896.256,0 644.800,0 8.096 2.668.032 825.265,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.688.224 127 887.308,0 602.496,0 6.880 2.678.176 826.938,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.071.488 127 890.326,0 604.160,0 7.072 2.657.984 828.640,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.969.728 127 889.525,0 624.576,0 8.160 2.670.144 820.839,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.219.008 127 891.488,0 625.664,0 8.064 2.688.896 823.007,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 111.909.120 127 881.174,0 596.224,0 6.912 2.659.936 825.106,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.779.680 127 888.029,0 622.208,0 8.032 2.674.752 821.489,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.179.584 127 899.051,0 674.432,0 7.712 2.687.264 828.214,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.675.200 127 895.080,0 609.760,0 7.424 2.705.184 832.985,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.815.872 127 896.188,0 648.384,0 8.768 2.694.336 828.217,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.059.040 127 898.102,0 602.016,0 6.848 2.681.824 830.591,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.588.960 127 894.401,0 634.784,0 8.608 2.674.912 825.062,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.021.664 127 889.934,0 621.056,0 8.448 2.662.400 819.753,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.070.912 127 890.322,0 635.776,0 7.392 2.680.352 824.262,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.032.640 127 897.894,0 641.376,0 8.480 2.709.536 825.706,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.251.808 127 883.872,0 601.344,0 6.688 2.676.512 822.088,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.686.400 127 887.294,0 593.984,0 6.560 2.668.320 825.360,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.072.256 127 890.332,0 631.456,0 6.784 2.708.000 829.889,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.919.872 127 897.006,0 662.560,0 8.416 2.676.640 824.156,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.346.368 127 900.365,0 660.640,0 8.000 2.687.264 828.050,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.822.592 127 896.240,0 641.184,0 6.784 2.669.728 827.948,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.943.328 127 897.191,0 648.032,0 8.032 2.672.480 827.229,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.314.336 127 900.112,0 673.248,0 8.672 2.671.616 827.449,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.644.128 127 894.835,0 632.832,0 7.968 2.684.320 824.261,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.403.296 127 892.939,0 609.696,0 6.784 2.672.544 829.064,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.315.904 127 900.125,0 655.072,0 8.128 2.697.664 829.999,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.942.752 127 897.187,0 650.816,0 6.720 2.656.608 826.271,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.542.048 127 886.157,0 606.240,0 7.008 2.691.936 826.870,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.027.648 127 897.855,0 643.872,0 6.720 2.682.400 828.620,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.917.280 127 896.986,0 651.200,0 8.096 2.677.376 826.105,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.104.256 127 898.458,0 674.720,0 8.544 2.697.728 829.014,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.878.720 127 896.682,0 662.368,0 7.936 2.649.952 825.179,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.828.736 127 896.289,0 658.400,0 6.752 2.657.920 828.112,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.220.704 127 899.375,0 636.032,0 7.936 2.673.888 828.721,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.117.152 127 898.560,0 639.616,0 7.968 2.685.472 825.776,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.807.328 127 896.120,0 643.488,0 8.480 2.661.856 824.832,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.260.736 127 899.690,0 644.224,0 8.640 2.670.112 828.447,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.663.136 127 894.985,0 632.704,0 8.096 2.650.976 824.769,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.519.808 127 885.982,0 607.968,0 7.488 2.703.264 827.958,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.124.608 127 898.619,0 625.600,0 8.512 2.686.496 828.283,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.353.184 127 900.418,0 639.616,0 7.872 2.689.440 829.116,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.959.072 127 897.315,0 647.392,0 8.064 2.681.088 827.973,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.248.736 127 899.596,0 642.400,0 8.224 2.687.296 828.835,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.894.336 127 896.805,0 659.968,0 7.040 2.671.520 826.934,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.110.464 127 882.759,0 613.920,0 7.136 2.720.224 827.136,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.922.880 127 897.030,0 650.048,0 8.064 2.700.768 827.006,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.435.680 127 901.068,0 665.312,0 8.096 2.683.712 831.299,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.995.392 127 897.601,0 652.000,0 6.880 2.691.072 828.842,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.429.888 127 893.148,0 619.712,0 7.136 2.680.992 826.254,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.575.968 127 886.424,0 623.200,0 6.656 2.667.104 827.549,0 CUDA_KERNEL lud_internal(float *, int, int)
