      4,0       14.618.624        127     115.107,0     106.624,0     68.352      206.368      39.283,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.331.136        128      65.087,0      66.144,0     61.216       71.008       3.047,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.652.096        127     902.772,0     642.688,0      7.872    2.692.000     830.473,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.682.176        127     115.607,0     106.432,0     69.536      206.624      38.613,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.380.320        128      65.471,0      65.136,0     62.272       70.336       2.473,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      121.806.336        127     959.105,0     637.984,0      7.072    5.806.816    1.004.659,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.658.784        127     115.423,0     108.352,0     67.840      205.792       39.208,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.357.248        128      65.291,0      65.280,0     61.248       71.104        3.046,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.551.872        127     901.983,0     642.464,0      8.480    2.707.488     832.791,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.689.792        127     115.667,0     106.944,0     69.600      206.976      38.735,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.398.592        128      65.614,0      66.064,0     62.304       71.456       2.628,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       80.607.744        127     634.706,0     457.952,0      6.336    1.888.640     581.366,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0       10.957.568        127      86.280,0      80.224,0     51.648      150.656      28.905,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.243.072        128      48.774,0      50.000,0     46.720       51.808       1.775,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.204.160        127     891.371,0     651.456,0      8.096    2.663.552     823.571,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.666.720        127     115.486,0     107.872,0     68.832      205.760      38.629,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.388.128        128      65.532,0      67.408,0     62.272       71.072       2.744,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     35,0       59.250.784        127     466.541,0     335.808,0      3.840   1.397.728     433.150,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.402.336        127      58.286,0      54.272,0     34.912     104.832      19.580,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.232.224        128      33.064,0      33.920,0     31.168      36.192       1.514,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.977.760        127     897.462,0     670.720,0      8.192    2.706.784     827.709,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.685.056        127     115.630,0     107.648,0     69.568      206.112      38.633,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.406.240        128      65.673,0      67.504,0     62.336       70.464       2.674,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.097.120        127     890.528,0     632.640,0      6.816    2.681.920     833.358,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.548.896        127     114.558,0     106.528,0     67.520      205.984      39.175,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.285.632        128      64.731,0      65.840,0     61.184       70.624       3.077,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       85.917.312        127     676.514,0     503.936,0      5.472    2.472.992     619.326,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.929.536        127      86.059,0      82.848,0     50.912      151.008      29.141,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.225.664        128      48.638,0      50.080,0     46.048       52.352       2.030,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      113.924.160        127     897.040,0     656.864,0      7.072    2.682.208     829.864,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.596.576        127     114.933,0     109.120,0     67.712      206.016      39.350,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
