4,0 7.390.176 127 58.190,0 54.848,0 34.432 104.448 19.544,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.402.976 127 58.291,0 54.496,0 34.592 105.120 19.648,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.397.472 127 58.247,0 54.400,0 34.816 104.544 19.591,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.384.128 127 58.142,0 53.568,0 34.560 104.352 19.613,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.392.224 127 58.206,0 53.696,0 34.848 105.216 19.648,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.393.472 127 58.216,0 54.624,0 34.496 105.216 19.604,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.408.000 127 58.330,0 54.400,0 34.624 105.216 19.484,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.393.664 127 58.217,0 53.920,0 34.432 105.440 19.628,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.663.680 127 115.462,0 108.832,0 68.608 205.632 39.129,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.687.520 127 115.649,0 107.712,0 68.672 206.624 38.726,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.648.576 127 115.343,0 106.848,0 68.288 205.632 38.913,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.621.504 127 115.130,0 107.264,0 67.648 205.696 39.168,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.604.896 127 114.999,0 106.432,0 67.776 205.664 39.346,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.676.704 127 115.564,0 107.776,0 69.376 206.240 38.772,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.582.880 127 114.825,0 106.560,0 67.584 206.464 39.401,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.665.664 127 115.477,0 107.584,0 68.768 207.136 38.806,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.600.192 127 114.962,0 105.376,0 67.808 205.344 39.378,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.679.776 127 115.588,0 106.656,0 68.768 205.600 38.713,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.703.552 127 115.776,0 107.808,0 69.184 205.664 38.571,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.572.480 127 114.743,0 106.240,0 68.288 204.896 39.184,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.582.240 127 114.820,0 105.056,0 67.936 205.696 39.338,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.671.840 127 115.526,0 107.648,0 68.704 206.016 38.763,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.673.312 127 115.537,0 106.624,0 69.184 206.944 38.747,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.547.968 127 114.550,0 106.112,0 68.288 205.568 39.202,0 CUDA_KERNEL lud_perimeter(float *, int, int)
