2,0 4.233.312 128 33.072,0 34.016,0 31.168 35.936 1.489,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.221.984 128 32.984,0 33.504,0 31.136 35.840 1.546,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.233.632 128 33.075,0 34.112,0 31.136 36.256 1.597,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.226.688 128 33.021,0 33.072,0 31.168 36.288 1.512,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.223.712 128 32.997,0 32.896,0 31.136 36.192 1.439,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.244.352 128 33.159,0 34.256,0 31.136 35.936 1.508,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.236.992 128 33.101,0 33.584,0 31.168 36.256 1.512,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.237.952 128 33.109,0 34.128,0 31.168 35.776 1.519,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.238.720 128 33.115,0 34.224,0 31.136 36.128 1.513,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.227.168 128 33.024,0 33.904,0 31.136 36.032 1.601,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.224.864 128 33.006,0 33.552,0 31.168 36.288 1.504,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.225.824 128 33.014,0 33.776,0 31.168 35.424 1.408,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.225.216 128 33.009,0 33.584,0 31.136 36.064 1.541,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.232.128 128 33.063,0 34.080,0 31.200 35.744 1.398,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.241.120 128 33.133,0 33.568,0 31.136 36.096 1.489,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.226.592 128 33.020,0 33.776,0 31.136 35.968 1.535,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.354.656 128 65.270,0 67.280,0 61.536 72.288 2.986,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.403.648 128 65.653,0 67.312,0 62.272 70.752 2.769,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.376.960 128 65.445,0 66.400,0 61.184 71.104 2.914,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.361.248 128 65.322,0 67.232,0 61.248 70.240 2.929,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.329.888 128 65.077,0 65.696,0 61.184 71.296 3.187,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.396.800 128 65.600,0 66.576,0 62.304 70.560 2.646,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.316.032 128 64.969,0 65.536,0 61.152 70.464 3.072,0 CUDA_KERNEL lud_diagonal(float *, int, int)
