      0,0           67.872          1      67.872,0   67.872,0    67.872       67.872            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.896          1      68.896,0   68.896,0    68.896       68.896            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.104          1      67.104,0   67.104,0    67.104       67.104            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.968          1      67.968,0   67.968,0    67.968       67.968           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.512          1      68.512,0   68.512,0    68.512       68.512            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.152          1      69.152,0   69.152,0    69.152       69.152            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.456          1      67.456,0   67.456,0    67.456       67.456            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.312          1      69.312,0   69.312,0    69.312       69.312            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.472          1      69.472,0   69.472,0    69.472       69.472            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.352          1      68.352,0   68.352,0    68.352       68.352            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.552          1      67.552,0   67.552,0    67.552       67.552            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.968          1      67.968,0   67.968,0    67.968       67.968            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.328          1      67.328,0   67.328,0    67.328       67.328            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.616          1      67.616,0   67.616,0    67.616       67.616            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.672          1      68.672,0   68.672,0    68.672       68.672            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.600          1      69.600,0   69.600,0    69.600       69.600            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.128          1      68.128,0   68.128,0    68.128       68.128            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.376          1      69.376,0   69.376,0    69.376       69.376            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.232          1      67.232,0   67.232,0    67.232       67.232            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.568          1      69.568,0   69.568,0    69.568       69.568            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
