43,0 919.439.168 10 91.943.916,0 91.702.544,0 86.830.880 98.687.936 3.259.234,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 933.483.680 10 93.348.368,0 92.134.144,0 86.857.312 102.588.928 4.441.622,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 954.097.312 10 95.409.731,0 92.426.208,0 86.738.144 122.987.072 10.158.531,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 977.160.832 10 97.716.083,0 92.526.960,0 86.903.104 125.163.776 11.658.057,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.015.223.680 10 101.522.368,0 94.105.824,0 86.772.160 147.102.016 17.630.466,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.346.490.464 10 134.649.046,0 95.126.192,0 86.948.320 221.307.776 55.447.136,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 951.655.648 10 95.165.564,0 92.235.088,0 86.928.800 120.000.384 9.246.521,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 918.907.136 10 91.890.713,0 91.722.832,0 86.664.128 98.494.336 3.230.795,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 944.553.984 10 94.455.398,0 92.381.024,0 86.680.032 113.781.856 7.450.817,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 961.525.088 10 96.152.508,0 92.250.800,0 86.844.896 130.026.560 12.292.234,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
45,0 1.957.382.336 10 195.738.233,0 207.393.344,0 92.617.504 218.288.864 36.688.643,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 931.846.784 10 93.184.678,0 91.840.064,0 86.812.768 102.165.216 4.410.403,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 919.402.336 10 91.940.233,0 91.627.328,0 86.850.080 98.693.664 3.267.061,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 957.254.720 10 95.725.472,0 92.192.112,0 86.911.168 127.859.712 11.658.303,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 974.813.376 10 97.481.337,0 94.046.704,0 86.712.768 117.596.448 9.974.114,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.510.772.704 10 151.077.270,0 163.793.264,0 95.179.072 197.711.712 41.040.895,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 956.251.104 10 95.625.110,0 92.659.744,0 86.763.136 125.057.056 10.678.364,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
