     34.8       1368288256       3900     350843.1     346496.0     338912     431616      11102.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.2       1368070208       3900     350787.2     346496.0     338048     453760      11144.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.4       1157482656       3900     296790.4     265376.0     172704     435840      48245.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.0       1145660672       3900     293759.1     264544.0     254240     433088      43990.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1362992288       3900     349485.2     346496.0     254112     430464      15410.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.2        894508576       3900     229361.2     212288.0     203072     308416      26552.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1141344832       3900     292652.5     264480.0     213600     451040      45225.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1252785568       3900     321227.1     345920.0     254208     428736      43880.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.3       1205847360       3900     309191.6     345760.0     212704     427456      47437.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1138846848       3900     292012.0     262400.0     253568     433312      43463.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1147249344       3900     294166.5     264576.0     254272     430848      44206.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1094991136       3900     280767.0     259936.0     206752     433888      49751.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.8       1249961664       3900     320503.0     345856.0     254752     429152      44116.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1368072320       3900     350787.8     346528.0     338592     433216      11088.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1367848800       3900     350730.5     346496.0     339136     429760      11092.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1156772960       3900     296608.5     264928.0     253888     431808      44704.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1155143360       3900     296190.6     264672.0     217440     433216      45185.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.0       1368587680       3900     350919.9     346624.0     338912     434624      11187.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.7       1367892544       3900     350741.7     346400.0     338752     434400      11120.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.8       1356855520       3900     347911.7     346464.0     172704     438176      23770.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.5       1264593024       3900     324254.6     345920.0     253632     432608      42792.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.9       1368184224       3900     350816.5     346464.0     338528     431776      11125.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.4       1298469696       3900     332940.9     346016.0     253856     452864      37923.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.6       1190261440       3900     305195.2     271360.0     253888     432096      45862.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1284866304       3900     329452.9     345984.0     253632     434720      40067.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1368039520       3900     350779.4     346464.0     339232     431872      11130.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.4       1163186912       3900     298253.1     265248.0     253888     430688      45090.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1138952928       3900     292039.2     262176.0     253920     421728      43455.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1367806784       3900     350719.7     346432.0     338752     450528      11199.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.0       1166810528       3900     299182.2     265360.0     253504     431968      45200.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1367917504       3900     350748.1     346464.0     339232     434176      11093.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.7       1234544704       3900     316549.9     345888.0     253600     432640      45002.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1232970144       3900     316146.2     345792.0     254080     434016      45000.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.6       1164435808       3900     298573.3     265312.0     253888     453888      45228.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1367851008       3900     350731.0     346496.0     338048     430784      11055.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.5       1179162912       3900     302349.5     267664.0     254144     446848      45704.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1271122528       3900     325928.9     346048.0     253920     433632      42078.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.5       1367807712       3900     350719.9     346400.0     338688     432064      11099.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
