1,0 1.673.110.368 6.000 278.851,0 278.464,0 276.352 671.456 10.979,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.689.368.160 6.000 281.561,0 279.104,0 276.896 668.224 29.811,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.868.736 6.000 279.144,0 278.624,0 276.736 1.535.296 18.996,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.250.080 6.000 278.875,0 278.496,0 276.288 647.744 10.764,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.706.944 6.000 279.284,0 278.816,0 276.960 657.888 11.125,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.377.184 6.000 279.062,0 278.560,0 276.512 654.432 12.755,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.299.712 6.000 278.883,0 278.368,0 276.448 653.024 11.142,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.513.120 6.000 278.585,0 278.304,0 276.224 651.008 8.562,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.988.896 6.000 278.831,0 278.432,0 276.128 650.240 10.934,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.906.592 6.000 279.317,0 278.944,0 273.312 654.048 10.052,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.678.004.896 6.000 279.667,0 278.656,0 276.384 654.976 16.893,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.856.992 6.000 275.309,0 275.008,0 272.704 649.344 9.746,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.590.336 6.000 278.598,0 278.304,0 276.480 660.864 8.664,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.678.223.296 6.000 279.703,0 279.200,0 277.024 1.369.856 17.083,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.394.592 6.000 278.899,0 278.528,0 276.608 653.088 10.816,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.468.000 6.000 279.244,0 278.720,0 276.672 653.760 12.805,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.151.488 6.000 279.025,0 278.720,0 276.384 654.240 9.729,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.655.075.360 6.000 275.845,0 275.296,0 272.512 654.624 12.007,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.368.672 6.000 278.894,0 278.464,0 276.448 662.944 11.930,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.656.689.280 6.000 276.114,0 275.520,0 272.480 654.176 11.951,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.718.528 6.000 279.453,0 279.072,0 276.352 650.144 10.807,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.657.488.288 6.000 276.248,0 275.552,0 273.120 2.628.000 31.910,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.476.640 6.000 279.246,0 278.720,0 276.704 683.520 12.890,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.662.369.696 6.000 277.061,0 275.584,0 272.320 2.361.472 34.119,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.734.944 6.000 279.289,0 278.944,0 276.640 653.088 10.726,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.377.856 6.000 279.396,0 278.976,0 277.056 649.120 11.719,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.395.104 6.000 279.065,0 278.752,0 276.928 651.936 9.785,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.588.512 6.000 279.098,0 278.816,0 277.024 655.040 8.834,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
