4,0 107.232 3 35.744,0 35.424,0 34.944 36.864 999,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.320 3 36.106,0 35.840,0 34.656 37.824 1.600,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.936 3 35.978,0 35.904,0 34.528 37.504 1.489,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.008 3 35.669,0 35.840,0 34.432 36.736 1.161,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.064 3 36.021,0 35.808,0 35.200 37.056 946,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.104 3 35.701,0 35.488,0 34.496 37.120 1.324,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.680 3 35.893,0 36.096,0 34.304 37.280 1.498,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.424 3 35.808,0 35.776,0 34.592 37.056 1.232,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.264 3 35.754,0 35.808,0 34.336 37.120 1.392,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 106.912 3 35.637,0 35.552,0 34.656 36.704 1.026,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 106.880 3 35.626,0 35.456,0 34.304 37.120 1.415,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.456 3 35.818,0 35.872,0 34.496 37.088 1.296,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 112.320 3 37.440,0 37.216,0 36.000 39.104 1.564,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 112.128 3 37.376,0 37.344,0 36.032 38.752 1.360,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.552 3 35.850,0 35.808,0 34.816 36.928 1.056,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.576 3 36.192,0 36.096,0 34.592 37.888 1.650,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.544 3 36.181,0 35.968,0 35.168 37.408 1.135,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 112.896 3 37.632,0 37.472,0 36.000 39.424 1.717,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.808 3 35.936,0 35.904,0 34.592 37.312 1.360,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 120.256 3 40.085,0 39.488,0 38.720 42.048 1.742,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.264 3 35.754,0 35.648,0 34.944 36.672 868,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 211.232 3 70.410,0 69.888,0 68.608 72.736 2.113,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.136 3 35.712,0 35.424,0 34.592 37.120 1.288,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.000 3 36.000,0 36.320,0 35.296 36.384 610,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.608 3 36.202,0 36.160,0 35.040 37.408 1.184,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.232 3 35.744,0 35.904,0 34.592 36.736 1.080,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 109.056 3 36.352,0 35.744,0 34.944 38.368 1.791,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 121.984 3 40.661,0 40.768,0 38.880 42.336 1.730,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 109.312 3 36.437,0 36.352,0 35.200 37.760 1.282,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 114.592 3 38.197,0 38.368,0 37.024 39.200 1.098,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.008 3 35.669,0 35.808,0 34.336 36.864 1.269,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 112.480 3 37.493,0 37.312,0 35.968 39.200 1.623,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.488 3 35.829,0 35.904,0 34.560 37.024 1.233,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.904 3 35.968,0 35.488,0 35.232 37.184 1.060,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.232 3 35.744,0 35.680,0 34.368 37.184 1.409,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.704 3 36.234,0 35.712,0 35.136 37.856 1.433,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.104 3 35.701,0 35.680,0 34.304 37.120 1.408,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.864 3 36.288,0 35.840,0 34.656 38.368 1.896,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.328 3 35.776,0 35.744,0 34.464 37.120 1.328,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.000 3 36.000,0 35.776,0 34.816 37.408 1.310,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.288 3 36.096,0 35.776,0 34.464 38.048 1.813,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.424 3 35.808,0 35.904,0 35.008 36.512 756,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.352 3 36.117,0 36.480,0 35.168 36.704 829,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.648 3 35.882,0 36.000,0 35.072 36.576 758,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.232 3 35.744,0 35.712,0 34.560 36.960 1.200,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.328 3 35.776,0 35.872,0 34.432 37.024 1.298,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 116.768 3 38.922,0 39.392,0 37.984 39.392 812,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.064 3 36.021,0 36.448,0 34.400 37.216 1.455,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.936 3 35.978,0 35.904,0 34.880 37.152 1.137,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.736 3 36.245,0 36.352,0 35.392 36.992 805,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.192 3 36.064,0 35.840,0 34.496 37.856 1.691,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.768 3 36.256,0 36.000,0 34.464 38.304 1.932,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 109.152 3 36.384,0 35.904,0 35.648 37.600 1.060,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 106.752 3 35.584,0 35.808,0 34.304 36.640 1.184,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 109.312 3 36.437,0 35.808,0 35.136 38.368 1.705,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 117.920 3 39.306,0 39.104,0 37.568 41.248 1.848,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 111.232 3 37.077,0 37.248,0 36.064 37.920 939,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.264 3 35.754,0 35.840,0 34.336 37.088 1.378,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.424 3 35.808,0 35.936,0 34.368 37.120 1.380,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 119.424 3 39.808,0 40.256,0 38.464 40.704 1.185,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.192 3 36.064,0 35.712,0 34.880 37.600 1.393,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.808 3 35.936,0 35.904,0 34.752 37.152 1.200,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.808 3 35.936,0 36.032,0 34.656 37.120 1.234,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.008 3 35.669,0 35.328,0 34.432 37.248 1.438,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.448 3 36.149,0 35.840,0 34.368 38.240 1.954,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 106.880 3 35.626,0 35.584,0 34.528 36.768 1.120,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 116.928 3 38.976,0 38.752,0 37.440 40.736 1.659,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.424 3 35.808,0 35.872,0 34.496 37.056 1.281,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.424 3 35.808,0 35.968,0 34.464 36.992 1.271,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 210.944 3 70.314,0 69.312,0 69.120 72.512 1.905,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.296 3 35.765,0 35.872,0 34.336 37.088 1.379,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.328 3 35.776,0 35.904,0 34.336 37.088 1.380,0 CUDA_KERNEL lud_perimeter(float *, int, int)
