4,0 130.112 4 32.528,0 31.824,0 31.168 35.296 1.873,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.208 4 32.552,0 31.824,0 31.168 35.392 1.931,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.336 4 32.584,0 31.840,0 31.168 35.488 1.966,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 132.000 4 33.000,0 32.128,0 31.552 36.192 2.146,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.048 4 32.512,0 31.616,0 31.168 35.648 2.101,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.048 4 32.512,0 31.728,0 31.200 35.392 1.955,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 141.376 4 35.344,0 34.240,0 33.760 39.136 2.538,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.568 4 34.392,0 32.864,0 32.768 39.072 3.120,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.592 4 32.648,0 31.792,0 31.168 35.840 2.153,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.752 4 32.688,0 32.032,0 31.136 35.552 1.958,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 145.120 4 36.280,0 35.056,0 34.656 40.352 2.732,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.816 4 32.704,0 31.792,0 31.264 35.968 2.214,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.976 4 32.744,0 31.920,0 31.168 35.968 2.181,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 132.032 4 33.008,0 32.032,0 31.712 36.256 2.172,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.272 4 32.568,0 31.856,0 31.168 35.392 1.911,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 132.096 4 33.024,0 32.160,0 32.064 35.712 1.792,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.296 4 32.824,0 31.984,0 31.168 36.160 2.258,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 141.664 4 35.416,0 34.576,0 33.856 38.656 2.187,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.728 4 32.432,0 31.552,0 31.136 35.488 2.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.592 4 32.648,0 31.968,0 31.200 35.456 1.908,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 255.488 4 63.872,0 62.720,0 62.368 67.680 2.557,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.432 4 32.608,0 31.600,0 31.168 36.064 2.339,0 CUDA_KERNEL lud_diagonal(float *, int, int)
