0,0 25.920 2 12.960,0 12.960,0 9.280 16.640 5.204,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.112 2 13.056,0 13.056,0 8.224 17.888 6.833,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.112 2 13.056,0 13.056,0 9.152 16.960 5.521,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.816 2 13.408,0 13.408,0 8.928 17.888 6.335,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.904 2 13.952,0 13.952,0 9.120 18.784 6.833,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.272 2 13.136,0 13.136,0 9.632 16.640 4.955,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.424 2 13.712,0 13.712,0 9.472 17.952 5.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.640 2 12.320,0 12.320,0 8.256 16.384 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.928 2 12.464,0 12.464,0 8.192 16.736 6.041,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.952 2 12.976,0 12.976,0 8.704 17.248 6.041,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.688 2 13.344,0 13.344,0 8.192 18.496 7.286,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.992 2 12.496,0 12.496,0 8.640 16.352 5.453,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.136 2 13.568,0 13.568,0 9.440 17.696 5.837,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.792 2 12.896,0 12.896,0 8.224 17.568 6.607,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.792 2 12.896,0 12.896,0 8.256 17.536 6.562,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.720 2 13.360,0 13.360,0 9.344 17.376 5.679,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.800 2 12.400,0 12.400,0 8.320 16.480 5.770,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.176 2 13.088,0 13.088,0 8.640 17.536 6.290,0 CUDA_KERNEL Fan1(float *, float *, int, int)
