26,0 2.836.352 1 2.836.352,0 2.836.352,0 2.836.352 2.836.352 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.896 1 2.832.896,0 2.832.896,0 2.832.896 2.832.896 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.392 1 2.835.392,0 2.835.392,0 2.835.392 2.835.392 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.184 1 2.833.184,0 2.833.184,0 2.833.184 2.833.184 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
23,0 1.438.656 1 1.438.656,0 1.438.656,0 1.438.656 1.438.656 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.600 1 2.833.600,0 2.833.600,0 2.833.600 2.833.600 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.835.072 1 2.835.072,0 2.835.072,0 2.835.072 2.835.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.448 1 2.832.448,0 2.832.448,0 2.832.448 2.832.448 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.608 1 2.832.608,0 2.832.608,0 2.832.608 2.832.608 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.984 1 2.833.984,0 2.833.984,0 2.833.984 2.833.984 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.208 1 2.834.208,0 2.834.208,0 2.834.208 2.834.208 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.200 1 2.835.200,0 2.835.200,0 2.835.200 2.835.200 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.816 1 2.834.816,0 2.834.816,0 2.834.816 2.834.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.160 1 2.832.160,0 2.832.160,0 2.832.160 2.832.160 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.835.264 1 2.835.264,0 2.835.264,0 2.835.264 2.835.264 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.836.320 1 2.836.320,0 2.836.320,0 2.836.320 2.836.320 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.968 1 2.835.968,0 2.835.968,0 2.835.968 2.835.968 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.835.936 1 2.835.936,0 2.835.936,0 2.835.936 2.835.936 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 2.834.752 1 2.834.752,0 2.834.752,0 2.834.752 2.834.752 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
