0.0 54880 8 6860.0 6768.0 6176 8128 679.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70400 8 8800.0 8640.0 8192 10400 702.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68192 8 8524.0 8304.0 8000 10368 762.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 67968 8 8496.0 8256.0 8128 10304 736.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68896 8 8612.0 8304.0 8096 11296 1089.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 35872 8 4484.0 4384.0 3968 5824 595.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69056 8 8632.0 8368.0 7840 10272 752.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68928 8 8616.0 8448.0 8160 10336 714.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70016 8 8752.0 8544.0 8160 10336 710.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68320 8 8540.0 8304.0 8032 10400 775.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 71264 8 8908.0 8656.0 8352 10368 697.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70560 8 8820.0 8528.0 7872 11296 1083.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68288 8 8536.0 8288.0 8000 10272 723.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68640 8 8580.0 8288.0 7744 10624 907.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69856 8 8732.0 8448.0 8096 10592 793.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70080 8 8760.0 8384.0 7904 11392 1118.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68640 8 8580.0 8224.0 8000 10432 813.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 71072 8 8884.0 8672.0 8128 11168 983.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68672 8 8584.0 8336.0 8000 10368 746.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68320 8 8540.0 8304.0 7840 10304 772.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 71168 8 8896.0 8640.0 8288 10368 753.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69536 8 8692.0 8336.0 8032 11264 1061.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
