0.1 187040 8 23380.0 25088.0 11616 29184 5741.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187072 8 23384.0 25024.0 11296 28800 5547.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186432 8 23304.0 25072.0 11360 29632 5786.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185760 8 23220.0 24576.0 11392 29600 5813.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187552 8 23444.0 25040.0 11808 29568 5801.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 184800 8 23100.0 24640.0 11968 28800 5469.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186752 8 23344.0 24848.0 11872 29280 5488.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186976 8 23372.0 24960.0 12224 28384 5184.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185760 8 23220.0 24544.0 12128 28768 5291.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 189184 8 23648.0 25344.0 11264 29536 5874.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187360 8 23420.0 24896.0 12064 29056 5444.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188576 8 23572.0 25008.0 12192 28896 5600.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 184608 8 23076.0 24480.0 11840 28416 5422.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186784 8 23348.0 25008.0 11488 28960 5714.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 184832 8 23104.0 24688.0 11296 28480 5610.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186464 8 23308.0 24560.0 11968 29280 5476.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186944 8 23368.0 24848.0 11776 29696 5712.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186496 8 23312.0 24816.0 11392 28768 5692.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186784 8 23348.0 24864.0 11360 29504 5781.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185920 8 23240.0 24720.0 11232 29248 5635.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
