1,0 3.275.296 12 272.941,0 303.920,0 193.888 344.128 66.350,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.272.288 12 272.690,0 302.592,0 194.848 345.184 65.897,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.608 12 272.384,0 302.976,0 194.432 345.664 65.984,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.283.584 12 273.632,0 298.832,0 194.816 342.368 62.188,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.272.224 12 272.685,0 303.200,0 194.464 342.720 64.951,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.314.976 12 276.248,0 309.984,0 193.952 344.672 68.842,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.283.552 12 273.629,0 305.200,0 194.816 344.960 65.949,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.277.376 12 273.114,0 303.072,0 194.976 344.640 65.786,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.800 12 272.066,0 301.200,0 194.944 342.080 65.196,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.270.368 12 272.530,0 303.056,0 194.336 344.896 66.311,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.284.800 12 273.733,0 306.272,0 194.144 345.440 66.233,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 2.378.272 12 198.189,0 215.472,0 145.440 242.560 41.176,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.272.000 12 272.666,0 301.344,0 194.464 343.936 65.703,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.317.984 12 276.498,0 307.360,0 195.072 342.336 64.306,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.269.312 12 272.442,0 302.464,0 194.336 343.552 65.543,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.289.440 12 274.120,0 306.560,0 194.368 343.744 64.869,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.269.344 12 272.445,0 301.056,0 194.464 345.280 65.952,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
