21,0 22.303.968 12 1.858.664,0 687.744,0 305.152 8.978.848 2.588.336,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.395.488 12 1.866.290,0 691.280,0 305.984 8.988.224 2.591.619,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.395.104 12 1.866.258,0 684.256,0 304.448 8.988.288 2.595.497,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.381.248 12 1.865.104,0 689.520,0 304.800 8.978.304 2.591.861,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.427.488 12 1.868.957,0 688.048,0 319.360 8.975.104 2.587.280,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.358.880 12 1.863.240,0 687.232,0 306.336 8.975.552 2.590.641,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.323.072 12 1.860.256,0 683.488,0 305.824 8.984.960 2.589.499,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.372.000 12 1.864.333,0 690.144,0 306.816 8.973.728 2.589.588,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.397.888 12 1.866.490,0 689.120,0 306.272 8.980.544 2.591.369,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.342.624 12 1.861.885,0 679.888,0 304.480 8.973.856 2.589.610,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.418.816 12 1.868.234,0 688.576,0 306.816 8.978.144 2.591.285,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.337.120 12 1.861.426,0 686.544,0 305.280 8.970.112 2.588.462,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.396.096 12 1.866.341,0 684.400,0 305.440 8.964.608 2.590.442,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.364.352 12 1.863.696,0 689.424,0 305.984 8.970.144 2.587.123,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.509.728 12 1.875.810,0 688.656,0 307.104 8.971.008 2.593.663,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.396.320 12 1.866.360,0 684.192,0 305.952 8.974.560 2.590.511,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.422.976 12 1.868.581,0 690.368,0 304.544 8.970.176 2.590.906,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
