3,0 3.844.160 12 320.346,0 315.328,0 282.304 349.024 20.278,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.160 12 319.013,0 311.984,0 300.416 347.680 19.196,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.840.960 12 320.080,0 313.488,0 302.624 349.184 18.187,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.769.920 12 314.160,0 311.568,0 281.024 350.208 22.287,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.829.056 12 319.088,0 311.600,0 300.736 347.744 19.704,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.849.504 12 320.792,0 314.960,0 302.176 349.408 18.113,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.835.424 12 319.618,0 312.496,0 299.520 351.808 20.289,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.814.464 12 317.872,0 312.704,0 281.792 349.344 22.028,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.847.616 12 320.634,0 313.952,0 302.528 347.776 17.531,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.862.592 12 321.882,0 314.944,0 304.576 349.024 17.851,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.827.392 12 318.949,0 312.512,0 300.096 348.512 19.664,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.820.448 12 318.370,0 312.688,0 299.744 348.544 19.038,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.831.520 12 319.293,0 314.976,0 299.680 349.536 19.459,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.837.984 12 319.832,0 313.280,0 302.368 346.432 17.772,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.841.536 12 320.128,0 313.248,0 300.608 351.584 20.459,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
