29,0 8.455.104 1 8.455.104,0 8.455.104,0 8.455.104 8.455.104 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.275.456 1 11.275.456,0 11.275.456,0 11.275.456 11.275.456 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.448 1 11.272.448,0 11.272.448,0 11.272.448 11.272.448 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.273.632 1 11.273.632,0 11.273.632,0 11.273.632 11.273.632 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.648 1 11.271.648,0 11.271.648,0 11.271.648 11.271.648 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 8.453.728 1 8.453.728,0 8.453.728,0 8.453.728 8.453.728 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.312 1 11.273.312,0 11.273.312,0 11.273.312 11.273.312 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.275.040 1 11.275.040,0 11.275.040,0 11.275.040 11.275.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.008 1 11.271.008,0 11.271.008,0 11.271.008 11.271.008 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.248 1 11.273.248,0 11.273.248,0 11.273.248 11.273.248 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.160 1 11.272.160,0 11.272.160,0 11.272.160 11.272.160 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.696 1 11.273.696,0 11.273.696,0 11.273.696 11.273.696 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.120 1 11.273.120,0 11.273.120,0 11.273.120 11.273.120 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.864 1 11.272.864,0 11.272.864,0 11.272.864 11.272.864 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
