0.3 7053408 1023 6894.8 6496.0 3552 34432 2726.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6573248 1023 6425.5 6336.0 3552 34528 2845.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6793376 1023 6640.6 6528.0 3520 34848 2665.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6987808 1023 6830.7 6464.0 3520 34528 3212.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6596608 1023 6448.3 6464.0 3584 35904 2564.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7935904 1023 7757.5 7648.0 3552 34304 3522.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7599456 1023 7428.6 6560.0 3552 34528 3648.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7489760 1023 7321.4 6464.0 3520 35904 3607.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6526528 1023 6379.8 6432.0 3520 35680 2399.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7153120 1023 6992.3 6432.0 3488 34304 3262.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6674848 1023 6524.8 6336.0 3520 34752 2965.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7745984 1023 7571.8 7584.0 4224 34272 2909.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6975200 1023 6818.4 6496.0 3520 35072 3040.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7787904 1023 7612.8 6496.0 3488 34720 3983.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6848128 1023 6694.2 6496.0 3552 34592 2850.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8277856 1023 8091.7 6432.0 3488 34400 4240.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6778624 1023 6626.2 6400.0 3488 34464 2926.0 CUDA_KERNEL Fan1(float *, float *, int, int)
