1,0 1.434.489.152 2.000 717.244,0 714.432,0 710.240 1.902.336 44.508,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.421.480.928 2.000 710.740,0 705.696,0 703.712 2.671.360 68.190,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.749.248 2.000 717.374,0 714.336,0 710.560 1.903.584 44.799,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.421.608.576 2.000 710.804,0 705.760,0 703.648 1.903.232 52.840,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.480.288 2.000 709.240,0 705.504,0 703.264 1.903.136 42.275,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.442.368 2.000 717.721,0 714.720,0 710.272 1.903.136 37.508,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.420.238.176 2.000 710.119,0 705.808,0 703.584 1.903.104 38.572,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.452.095.936 2.000 726.048,0 714.592,0 710.528 1.902.464 87.470,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.263.328 2.000 716.631,0 714.304,0 709.920 1.902.592 41.403,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.419.723.840 2.000 709.861,0 706.048,0 703.488 1.901.952 39.928,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.291.520 2.000 709.145,0 705.728,0 703.264 1.902.656 39.263,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.733.344 2.000 717.866,0 714.720,0 710.304 2.322.208 54.867,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.047.776 2.000 709.023,0 705.920,0 703.360 1.903.328 35.797,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.826.368 2.000 719.413,0 714.560,0 710.464 1.901.888 58.124,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.467.936 2.000 717.234,0 714.880,0 710.752 1.903.168 42.161,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.771.488 2.000 709.385,0 705.536,0 703.744 1.902.944 52.266,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.379.680 2.000 708.689,0 705.696,0 703.776 1.902.272 44.793,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.432.981.216 2.000 716.490,0 714.176,0 710.528 1.902.624 41.177,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.133.696 2.000 709.066,0 705.664,0 703.648 1.902.624 47.384,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.863.808 2.000 716.931,0 714.560,0 710.304 1.902.656 41.398,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.718.720 2.000 716.859,0 714.560,0 710.656 1.901.760 38.874,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.420.654.656 2.000 710.327,0 705.872,0 703.616 1.901.792 42.792,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.432.822.816 2.000 716.411,0 714.416,0 710.272 1.902.784 38.394,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.493.248 2.000 717.246,0 714.656,0 709.632 1.902.208 41.652,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.172.192 2.000 716.586,0 714.336,0 710.080 1.902.560 39.015,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.640.224 2.000 717.320,0 714.336,0 710.720 1.902.400 46.358,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.114.048 2.000 719.057,0 714.624,0 709.792 1.902.208 42.042,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.418.688 2.000 717.709,0 714.432,0 709.984 2.311.040 57.068,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.194.688 2.000 708.597,0 705.536,0 703.520 1.903.168 35.737,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.774.048 2.000 716.887,0 714.592,0 710.720 1.902.368 41.378,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.421.205.504 2.000 710.602,0 705.472,0 703.328 1.903.712 48.731,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.764.512 2.000 716.882,0 714.528,0 709.568 1.902.368 41.387,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.436.083.008 2.000 718.041,0 714.912,0 710.528 1.903.360 46.562,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.416.570.464 2.000 708.285,0 705.664,0 703.712 1.902.784 42.155,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.440.887.744 2.000 720.443,0 714.336,0 709.984 1.902.048 65.697,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.416.016.064 2.000 708.008,0 705.664,0 703.296 1.902.144 38.711,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.420.737.280 2.000 710.368,0 705.568,0 703.584 1.903.424 53.229,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.299.232 2.000 717.649,0 714.560,0 709.984 1.901.408 46.768,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.502.112 2.000 719.251,0 705.376,0 703.456 1.902.848 97.336,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.046.240 2.000 716.523,0 714.240,0 709.664 1.903.392 41.189,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.386.496 2.000 717.693,0 714.400,0 709.984 1.902.752 50.607,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.421.694.016 2.000 710.847,0 705.696,0 703.520 3.547.968 79.250,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.372.000 2.000 709.186,0 705.760,0 703.552 1.901.984 39.063,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.546.784 2.000 719.273,0 715.136,0 710.368 1.902.880 53.872,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.423.592.672 2.000 711.796,0 705.728,0 703.360 1.902.464 53.671,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.939.232 2.000 716.969,0 714.912,0 710.592 1.903.360 38.569,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.054.272 2.000 719.027,0 715.040,0 711.168 1.902.368 52.019,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.420.232.384 2.000 710.116,0 706.048,0 703.424 1.903.040 48.790,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.581.280 2.000 716.790,0 714.432,0 710.272 1.903.264 41.366,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.425.346.080 2.000 712.673,0 705.664,0 703.616 1.903.328 61.737,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
