43,0 32.148.321.440 6.000 5.358.053,0 5.327.744,0 5.308.000 13.130.144 324.229,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.514.887.808 6.000 5.419.148,0 5.396.416,0 5.382.144 13.129.344 324.452,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.584.679.040 6.000 5.430.779,0 5.326.368,0 5.309.120 16.562.560 734.947,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.456.560.224 6.000 5.409.426,0 5.394.016,0 5.379.808 13.133.152 269.450,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.496.366.656 6.000 5.416.061,0 5.395.680,0 5.381.056 13.137.600 306.491,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.152.374.272 6.000 5.358.729,0 5.328.896,0 5.309.280 13.608.352 365.329,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.115.908.800 6.000 5.352.651,0 5.329.456,0 5.309.184 13.134.048 252.312,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.577.360.544 6.000 5.429.560,0 5.400.960,0 5.386.656 15.742.368 386.919,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.245.309.664 6.000 5.374.218,0 5.329.760,0 5.309.408 15.192.288 398.996,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.484.657.120 6.000 5.414.109,0 5.399.616,0 5.383.712 13.132.032 261.279,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.578.168.864 6.000 5.429.694,0 5.399.904,0 5.384.192 13.128.640 374.083,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.154.080.288 6.000 5.359.013,0 5.332.576,0 5.308.768 13.136.800 292.300,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.479.194.464 6.000 5.413.199,0 5.395.904,0 5.380.384 13.127.264 281.627,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.293.197.248 6.000 5.382.199,0 5.330.112,0 5.309.472 13.739.328 460.273,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.213.830.016 6.000 5.368.971,0 5.331.584,0 5.309.312 13.137.056 263.545,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.069.673.664 6.000 5.344.945,0 5.329.056,0 5.309.568 13.136.768 259.013,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.637.086.240 6.000 5.439.514,0 5.397.376,0 5.379.552 16.567.904 453.695,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.470.001.504 6.000 5.411.666,0 5.395.232,0 5.380.384 13.190.368 273.462,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.522.182.560 6.000 5.420.363,0 5.398.720,0 5.382.784 13.129.600 298.367,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.502.048.832 6.000 5.417.008,0 5.396.960,0 5.382.048 13.123.168 308.202,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.222.587.008 6.000 5.370.431,0 5.329.824,0 5.309.920 13.135.456 409.648,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.167.410.528 6.000 5.361.235,0 5.327.584,0 5.309.440 13.125.728 295.481,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
