1,0 881.310.496 6.000 146.885,0 145.728,0 144.128 331.584 13.786,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.218.752 6.000 146.203,0 145.536,0 144.224 2.257.120 28.039,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.390.560 6.000 146.231,0 145.504,0 144.128 2.332.512 29.146,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.892.192 6.000 146.315,0 145.824,0 144.192 326.528 8.709,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.643.744 6.000 145.940,0 145.568,0 144.160 330.176 7.080,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 867.775.168 6.000 144.629,0 143.808,0 141.920 323.872 7.761,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.922.880 6.000 144.820,0 144.064,0 142.144 330.336 9.162,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.113.856 6.000 144.352,0 143.776,0 142.112 324.736 9.603,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.601.568 6.000 144.266,0 143.680,0 141.952 334.880 8.370,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.456.704 6.000 145.909,0 145.408,0 143.744 326.432 8.159,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 886.249.600 6.000 147.708,0 145.664,0 144.320 332.448 16.799,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.767.264 6.000 144.294,0 143.680,0 141.856 331.328 8.241,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.864.608 6.000 144.810,0 143.872,0 141.920 1.172.000 16.475,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.363.872 6.000 144.727,0 143.968,0 142.208 331.104 10.937,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.724.416 6.000 146.454,0 145.632,0 144.256 340.960 11.086,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.664.448 6.000 146.444,0 145.696,0 144.288 331.168 11.004,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.498.048 6.000 146.083,0 145.568,0 144.096 331.712 8.957,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 869.599.936 6.000 144.933,0 143.616,0 141.792 2.660.000 34.263,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.203.232 6.000 146.700,0 145.408,0 144.000 2.335.072 30.820,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.774.112 6.000 145.795,0 143.840,0 141.824 338.304 16.401,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.354.240 6.000 146.059,0 145.600,0 144.064 324.704 8.245,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.167.648 6.000 145.861,0 145.376,0 143.904 325.120 8.040,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
