3,0 74.592 1 74.592,0 74.592,0 74.592 74.592 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 73.984 1 73.984,0 73.984,0 73.984 73.984 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.112 1 74.112,0 74.112,0 74.112 74.112 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.072 1 75.072,0 75.072,0 75.072 75.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.816 1 74.816,0 74.816,0 74.816 74.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.200 1 75.200,0 75.200,0 75.200 75.200 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 74.688 1 74.688,0 74.688,0 74.688 74.688 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.592 1 74.592,0 74.592,0 74.592 74.592 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.144 1 74.144,0 74.144,0 74.144 74.144 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 74.240 1 74.240,0 74.240,0 74.240 74.240 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.208 1 74.208,0 74.208,0 74.208 74.208 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.496 1 74.496,0 74.496,0 74.496 74.496 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.264 1 75.264,0 75.264,0 75.264 75.264 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.144 1 74.144,0 74.144,0 74.144 74.144 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 73.792 1 73.792,0 73.792,0 73.792 73.792 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
