42,0 925.468.320 1.023 904.661,0 829.376,0 802.496 1.792.544 211.171,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 930.967.488 1.023 910.036,0 830.112,0 798.784 2.024.736 221.438,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 931.230.112 1.023 910.293,0 819.776,0 790.368 1.901.024 237.800,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 927.845.312 1.023 906.984,0 819.680,0 787.776 1.875.232 235.100,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 925.947.648 1.023 905.129,0 830.176,0 797.248 1.896.288 198.952,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 930.480.576 1.023 909.560,0 830.240,0 797.248 1.869.472 213.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 917.552.544 1.023 896.923,0 829.952,0 800.256 1.868.512 196.334,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 929.079.328 1.023 908.190,0 829.920,0 796.832 1.906.144 217.043,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 917.230.944 1.023 896.608,0 830.112,0 803.104 1.883.936 192.830,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 928.517.600 1.023 907.641,0 829.696,0 797.152 1.919.936 228.085,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 927.040.096 1.023 906.197,0 829.664,0 801.184 1.853.472 215.273,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 933.630.688 1.023 912.640,0 829.568,0 799.840 1.885.184 218.689,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 935.283.488 1.023 914.255,0 829.696,0 799.168 1.905.824 225.458,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 929.181.920 1.023 908.291,0 829.696,0 799.744 1.734.080 197.119,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 919.758.240 1.023 899.079,0 830.912,0 800.960 1.889.536 211.933,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 965.246.816 1.023 943.545,0 830.816,0 799.872 1.834.144 263.990,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 983.892.192 1.023 961.771,0 820.288,0 789.248 1.904.896 300.166,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 931.031.744 1.023 910.099,0 829.088,0 796.736 1.846.336 212.875,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
