0,0 8.523.328 1.023 8.331,0 7.232,0 4.224 29.504 3.350,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.230.560 1.023 8.045,0 7.136,0 4.192 30.048 3.225,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.412.928 1.023 8.223,0 7.168,0 4.160 26.592 3.234,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.896.512 1.023 12.606,0 12.576,0 7.616 26.880 2.347,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.068.896 1.023 7.887,0 7.136,0 4.192 30.112 3.211,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.197.920 1.023 12.901,0 13.888,0 8.224 36.320 2.376,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.812.320 1.023 8.614,0 7.872,0 4.160 30.592 3.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.400.096 1.023 8.211,0 7.136,0 4.160 27.264 3.555,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.989.024 1.023 7.809,0 7.712,0 4.160 33.536 2.761,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.311.744 1.023 8.124,0 7.232,0 4.160 30.784 3.301,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.083.296 1.023 7.901,0 7.168,0 4.160 28.960 3.131,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.666.848 1.023 8.472,0 7.744,0 4.160 26.624 3.398,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.896.992 1.023 7.719,0 7.104,0 4.128 27.712 2.957,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.181.152 1.023 12.884,0 13.344,0 8.224 30.208 2.312,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.268.640 1.023 8.082,0 7.168,0 4.192 29.824 3.270,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.808.352 1.023 12.520,0 12.608,0 7.680 26.272 2.327,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.059.200 1.023 12.765,0 13.248,0 8.192 34.336 2.329,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.373.728 1.023 8.185,0 7.200,0 4.160 25.664 3.288,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.225.536 1.023 10.973,0 11.168,0 6.656 34.080 2.275,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.961.184 1.023 8.759,0 8.000,0 4.160 30.048 3.522,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.791.616 1.023 9.571,0 8.416,0 4.192 26.560 4.145,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.927.104 1.023 7.748,0 7.168,0 4.192 26.560 2.962,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.421.312 1.023 9.209,0 7.872,0 4.192 31.200 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.936.192 1.023 7.757,0 7.104,0 4.160 27.104 2.854,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.644.544 1.023 7.472,0 7.136,0 4.160 34.432 2.596,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.283.488 1.023 8.097,0 7.584,0 4.160 30.016 3.115,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.477.632 1.023 12.197,0 12.128,0 7.552 30.592 2.525,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.263.136 1.023 8.077,0 8.416,0 4.128 33.152 2.968,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.661.216 1.023 11.399,0 12.096,0 4.928 30.848 3.573,0 CUDA_KERNEL Fan1(float *, float *, int, int)
