4,0 193.952 8 24.244,0 25.344,0 12.224 30.304 6.059,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 195.424 8 24.428,0 25.680,0 12.800 30.784 5.878,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.624 8 24.328,0 25.344,0 13.024 31.168 5.822,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.104 8 24.388,0 25.504,0 11.520 32.160 6.486,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.872 8 24.484,0 25.216,0 12.576 32.000 6.015,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 191.744 8 23.968,0 24.912,0 11.872 31.616 6.152,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 196.512 8 24.564,0 25.888,0 12.512 31.328 6.126,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 192.064 8 24.008,0 24.944,0 13.280 30.240 5.467,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 199.488 8 24.936,0 25.744,0 12.960 32.032 6.150,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 196.000 8 24.500,0 25.712,0 11.616 31.488 6.293,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 191.712 8 23.964,0 25.392,0 11.264 30.848 6.300,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 195.296 8 24.412,0 25.840,0 12.736 29.952 5.543,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.728 8 24.216,0 25.088,0 11.360 31.040 6.451,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 194.752 8 24.344,0 25.664,0 11.392 31.488 6.247,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
2,0 195.040 8 24.380,0 26.080,0 11.680 30.560 6.144,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
