1,0 69.760 8 8.720,0 8.336,0 7.936 10.048 774,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.720 8 8.340,0 8.304,0 7.872 8.800 290,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.984 8 8.748,0 8.640,0 8.000 9.824 600,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.768 8 8.596,0 8.288,0 7.968 10.368 809,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.336 8 8.792,0 8.624,0 8.288 9.760 564,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.864 8 8.608,0 8.272,0 7.936 9.600 647,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.928 8 8.616,0 8.688,0 7.840 9.952 660,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.152 8 8.644,0 8.384,0 7.968 10.208 742,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.976 8 8.372,0 8.336,0 7.968 8.672 262,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.456 8 8.432,0 8.336,0 8.000 9.408 447,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.368 8 8.296,0 8.256,0 7.936 8.640 220,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.512 8 8.564,0 8.416,0 7.904 9.504 496,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.736 8 8.592,0 8.320,0 7.872 9.920 690,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.224 8 8.528,0 8.480,0 7.936 9.344 439,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 41.120 8 5.140,0 5.200,0 4.000 6.272 810,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.888 8 8.736,0 8.576,0 7.968 9.952 625,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.128 8 8.516,0 8.416,0 8.000 9.120 371,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.232 8 8.404,0 8.336,0 7.872 9.568 527,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.008 8 8.376,0 8.336,0 7.904 8.800 275,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 71.616 8 8.952,0 8.960,0 8.032 10.464 799,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.792 8 8.724,0 8.336,0 7.904 10.080 804,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.800 8 8.600,0 8.512,0 7.936 9.248 447,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.096 8 8.512,0 8.352,0 7.840 9.728 610,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.928 8 8.616,0 8.528,0 7.936 9.280 476,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.288 8 8.536,0 8.368,0 7.936 9.216 422,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.224 8 8.528,0 8.336,0 7.968 9.696 525,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.552 8 8.444,0 8.352,0 7.904 8.928 353,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.656 8 8.332,0 8.352,0 7.840 8.896 339,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 51.840 8 6.480,0 6.304,0 6.208 6.976 316,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.832 8 8.604,0 8.464,0 7.840 9.216 521,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 71.584 8 8.948,0 8.944,0 8.288 9.696 627,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.688 8 8.336,0 8.304,0 7.936 8.608 212,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 72.160 8 9.020,0 9.200,0 7.840 10.048 867,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.048 8 8.756,0 8.320,0 8.224 10.528 804,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.304 8 8.788,0 8.368,0 7.904 10.400 816,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.648 8 8.456,0 8.336,0 7.904 9.408 451,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 71.136 8 8.892,0 8.672,0 7.904 10.304 828,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.544 8 8.568,0 8.416,0 7.872 9.504 626,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.960 8 8.620,0 8.464,0 8.000 9.376 463,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
