5,0 4.166.080 12 347.173,0 309.024,0 294.560 470.944 74.888,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.207.232 12 350.602,0 313.968,0 303.840 469.056 70.989,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.181.056 12 348.421,0 313.344,0 296.224 472.576 73.763,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.188.608 12 349.050,0 311.088,0 296.224 476.480 74.261,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.211.840 12 350.986,0 312.496,0 302.336 474.368 72.500,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.160.864 12 346.738,0 310.368,0 294.688 471.072 74.324,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.188.672 12 349.056,0 311.344,0 295.104 488.000 77.776,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.168.448 12 347.370,0 311.680,0 295.008 471.680 74.287,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.179.456 12 348.288,0 310.448,0 296.256 473.344 75.255,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.188.640 12 349.053,0 311.440,0 296.768 473.504 75.351,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.160.032 12 346.669,0 309.200,0 295.008 471.424 74.285,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.172.768 12 347.730,0 311.360,0 295.264 469.920 74.150,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.167.424 12 347.285,0 310.064,0 296.064 472.576 73.835,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.161.280 12 346.773,0 309.552,0 294.720 471.904 74.832,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.161.152 12 346.762,0 309.120,0 294.784 471.744 74.725,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.184.256 12 348.688,0 309.408,0 295.264 478.944 77.225,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.159.072 12 346.589,0 309.872,0 294.944 470.688 74.659,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.146.784 12 345.565,0 309.616,0 294.720 468.640 73.482,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.153.824 12 346.152,0 309.488,0 293.760 469.184 74.297,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.165.504 12 347.125,0 309.584,0 296.288 471.840 74.637,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
