31,0 24.121.664 12 2.010.138,0 708.928,0 299.168 9.007.136 2.683.603,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.146.304 12 2.012.192,0 705.984,0 300.416 9.009.408 2.687.643,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.155.040 12 2.012.920,0 710.544,0 301.984 9.019.040 2.686.866,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.095.264 12 2.007.938,0 711.632,0 299.552 8.995.200 2.681.028,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.162.144 12 2.013.512,0 718.784,0 300.256 8.996.064 2.682.787,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
29,0 24.137.568 12 2.011.464,0 715.744,0 299.904 8.993.536 2.680.555,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.177.920 12 2.014.826,0 709.728,0 301.376 9.039.808 2.693.219,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.131.360 12 2.010.946,0 712.784,0 300.800 9.005.440 2.683.536,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.162.208 12 2.013.517,0 705.312,0 300.448 9.019.808 2.689.203,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.160.928 12 2.013.410,0 708.720,0 300.640 9.034.464 2.692.913,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.118.560 12 2.009.880,0 711.424,0 299.456 9.015.328 2.686.456,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.101.536 12 2.008.461,0 711.488,0 300.736 9.000.160 2.682.205,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.146.816 12 2.012.234,0 712.992,0 302.208 9.013.120 2.684.307,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.120.896 12 2.010.074,0 714.336,0 301.152 8.995.168 2.680.617,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.100.256 12 2.008.354,0 708.144,0 299.968 9.006.400 2.683.033,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.142.368 12 2.011.864,0 716.528,0 299.680 9.005.024 2.685.897,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.137.888 12 2.011.490,0 708.352,0 301.888 9.015.264 2.686.191,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.107.264 12 2.008.938,0 712.736,0 299.968 8.999.168 2.682.556,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.117.248 12 2.009.770,0 712.624,0 301.632 8.997.888 2.681.530,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.170.016 12 2.014.168,0 710.880,0 299.296 9.017.824 2.689.814,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.128.960 12 2.010.746,0 712.336,0 299.392 9.001.472 2.682.077,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.108.224 12 2.009.018,0 709.792,0 299.456 9.004.832 2.682.974,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.090.784 12 2.007.565,0 710.256,0 300.640 8.995.072 2.681.071,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.135.488 12 2.011.290,0 710.160,0 299.584 9.018.624 2.687.755,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.104.544 12 2.008.712,0 711.648,0 301.088 8.988.864 2.679.950,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.149.920 12 2.012.493,0 711.040,0 309.568 9.017.760 2.683.918,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.127.136 12 2.010.594,0 711.984,0 300.288 9.008.928 2.683.942,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.115.584 12 2.009.632,0 709.376,0 299.424 9.012.704 2.684.699,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.166.752 12 2.013.896,0 708.384,0 299.872 9.003.488 2.686.692,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.130.592 12 2.010.882,0 704.736,0 300.128 9.005.952 2.685.822,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.203.616 12 2.016.968,0 707.776,0 300.928 9.000.576 2.687.402,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.176.288 12 2.014.690,0 713.680,0 299.712 9.005.280 2.685.041,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.144.416 12 2.012.034,0 711.312,0 301.440 9.005.600 2.683.658,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.114.656 12 2.009.554,0 709.504,0 300.960 9.004.832 2.684.433,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.159.008 12 2.013.250,0 713.024,0 300.256 9.003.584 2.685.779,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.126.880 12 2.010.573,0 715.728,0 299.552 8.995.392 2.681.791,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.140.224 12 2.011.685,0 715.872,0 298.272 9.006.784 2.681.217,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.123.104 12 2.010.258,0 711.392,0 298.560 8.986.336 2.680.659,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.110.656 12 2.009.221,0 712.064,0 302.304 8.994.240 2.682.425,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
