1,0 3.134.016 1 3.134.016,0 3.134.016,0 3.134.016 3.134.016 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.380.448 1 4.380.448,0 4.380.448,0 4.380.448 4.380.448 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.213.728 1 3.213.728,0 3.213.728,0 3.213.728 3.213.728 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.580.384 1 3.580.384,0 3.580.384,0 3.580.384 3.580.384 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
6,0 10.819.712 1 10.819.712,0 10.819.712,0 10.819.712 10.819.712 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.840.064 1 4.840.064,0 4.840.064,0 4.840.064 4.840.064 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.653.600 1 3.653.600,0 3.653.600,0 3.653.600 3.653.600 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 8.154.336 1 8.154.336,0 8.154.336,0 8.154.336 8.154.336 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.642.208 1 5.642.208,0 5.642.208,0 5.642.208 5.642.208 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.933.376 1 11.933.376,0 11.933.376,0 11.933.376 11.933.376 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.078.304 1 11.078.304,0 11.078.304,0 11.078.304 11.078.304 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.226.656 1 3.226.656,0 3.226.656,0 3.226.656 3.226.656 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.302.624 1 4.302.624,0 4.302.624,0 4.302.624 4.302.624 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 6.615.584 1 6.615.584,0 6.615.584,0 6.615.584 6.615.584 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.573.728 1 3.573.728,0 3.573.728,0 3.573.728 3.573.728 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.949.376 1 10.949.376,0 10.949.376,0 10.949.376 10.949.376 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.241.792 1 3.241.792,0 3.241.792,0 3.241.792 3.241.792 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.548.832 1 5.548.832,0 5.548.832,0 5.548.832 5.548.832 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 6.393.472 1 6.393.472,0 6.393.472,0 6.393.472 6.393.472 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.152.160 1 3.152.160,0 3.152.160,0 3.152.160 3.152.160 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.632.000 1 11.632.000,0 11.632.000,0 11.632.000 11.632.000 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.147.872 1 3.147.872,0 3.147.872,0 3.147.872 3.147.872 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.349.056 1 11.349.056,0 11.349.056,0 11.349.056 11.349.056 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.767.104 1 10.767.104,0 10.767.104,0 10.767.104 10.767.104 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
6,0 10.837.504 1 10.837.504,0 10.837.504,0 10.837.504 10.837.504 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.091.648 1 11.091.648,0 11.091.648,0 11.091.648 11.091.648 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
6,0 10.858.304 1 10.858.304,0 10.858.304,0 10.858.304 10.858.304 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.856.160 1 3.856.160,0 3.856.160,0 3.856.160 3.856.160 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.166.496 1 3.166.496,0 3.166.496,0 3.166.496 3.166.496 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.339.392 1 4.339.392,0 4.339.392,0 4.339.392 4.339.392 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.133.920 1 3.133.920,0 3.133.920,0 3.133.920 3.133.920 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.183.488 1 3.183.488,0 3.183.488,0 3.183.488 3.183.488 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.850.560 1 10.850.560,0 10.850.560,0 10.850.560 10.850.560 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 7.043.296 1 7.043.296,0 7.043.296,0 7.043.296 7.043.296 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.117.280 1 3.117.280,0 3.117.280,0 3.117.280 3.117.280 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.114.752 1 3.114.752,0 3.114.752,0 3.114.752 3.114.752 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.131.520 1 4.131.520,0 4.131.520,0 4.131.520 4.131.520 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.177.696 1 3.177.696,0 3.177.696,0 3.177.696 3.177.696 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.232.960 1 10.232.960,0 10.232.960,0 10.232.960 10.232.960 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.956.768 1 10.956.768,0 10.956.768,0 10.956.768 10.956.768 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.173.056 1 3.173.056,0 3.173.056,0 3.173.056 3.173.056 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 7.824.192 1 7.824.192,0 7.824.192,0 7.824.192 7.824.192 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.122.624 1 3.122.624,0 3.122.624,0 3.122.624 3.122.624 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
4,0 11.420.864 1 11.420.864,0 11.420.864,0 11.420.864 11.420.864 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.114.208 1 3.114.208,0 3.114.208,0 3.114.208 3.114.208 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.314.464 1 4.314.464,0 4.314.464,0 4.314.464 4.314.464 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
