47,0 919.293.728 10 91.929.372,0 91.664.256,0 86.819.200 98.475.040 3.249.570,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 921.876.032 10 92.187.603,0 91.632.064,0 86.789.760 98.445.536 3.410.643,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.075.800.608 10 107.580.060,0 92.531.248,0 86.859.232 175.130.400 32.075.797,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 916.209.728 10 91.620.972,0 91.616.384,0 86.887.456 98.589.824 3.021.116,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 998.407.776 10 99.840.777,0 92.754.704,0 86.883.040 145.207.840 17.314.658,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.036.352.768 10 103.635.276,0 93.681.744,0 86.770.752 175.120.096 26.739.464,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 944.001.664 10 94.400.166,0 92.307.184,0 86.822.272 113.002.528 7.201.133,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 965.612.288 10 96.561.228,0 92.258.336,0 86.720.192 137.516.896 14.677.870,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.586.908.224 10 158.690.822,0 188.142.480,0 86.901.888 220.818.848 57.222.529,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 953.014.784 10 95.301.478,0 91.860.608,0 86.815.264 125.986.400 11.151.669,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 980.551.872 10 98.055.187,0 92.443.488,0 86.842.848 128.926.304 13.501.908,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 2.065.921.152 10 206.592.115,0 212.280.224,0 166.390.656 223.067.456 17.253.700,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 980.851.904 10 98.085.190,0 92.805.600,0 86.749.280 146.302.464 17.245.196,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 971.042.688 10 97.104.268,0 92.473.344,0 86.906.272 117.654.624 10.618.115,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 952.893.632 10 95.289.363,0 92.190.400,0 86.821.344 123.361.568 10.286.214,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 948.404.032 10 94.840.403,0 92.148.448,0 86.927.168 114.757.568 7.692.675,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 943.002.688 10 94.300.268,0 92.179.168,0 86.881.376 114.989.632 7.819.714,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 941.051.104 10 94.105.110,0 91.905.040,0 86.846.176 110.722.368 6.599.717,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 997.471.008 10 99.747.100,0 92.453.584,0 86.758.240 152.930.272 19.427.470,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 931.063.040 10 93.106.304,0 90.996.448,0 85.634.656 111.396.992 6.952.454,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 934.684.832 10 93.468.483,0 90.978.640,0 85.631.296 117.516.192 8.918.536,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 964.686.528 10 96.468.652,0 93.541.808,0 86.600.928 127.560.320 11.625.122,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 964.070.144 10 96.407.014,0 92.756.432,0 86.977.120 128.567.360 11.741.311,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.270.218.432 10 127.021.843,0 96.873.680,0 86.926.304 186.585.728 44.279.780,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 977.799.328 10 97.779.932,0 92.131.648,0 86.960.000 143.984.992 16.545.925,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 954.913.984 10 95.491.398,0 92.482.192,0 86.682.432 123.106.976 10.176.254,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 953.961.632 10 95.396.163,0 92.511.072,0 86.768.544 121.754.752 9.761.627,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 985.507.872 10 98.550.787,0 93.850.160,0 86.794.528 126.341.696 12.400.788,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 950.166.112 10 95.016.611,0 92.272.208,0 86.746.464 116.676.896 8.260.607,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 949.151.296 10 94.915.129,0 92.061.664,0 86.847.072 115.965.568 8.068.346,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.015.524.896 10 101.552.489,0 93.983.904,0 86.782.816 135.175.616 16.465.274,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 981.494.176 10 98.149.417,0 92.282.768,0 86.748.064 127.378.240 13.178.935,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 955.877.984 10 95.587.798,0 92.474.992,0 86.798.208 123.605.312 10.308.042,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 982.261.376 10 98.226.137,0 92.781.552,0 86.822.208 147.600.960 17.611.884,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 919.610.976 10 91.961.097,0 91.682.912,0 86.957.280 98.589.280 3.200.795,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 978.768.256 10 97.876.825,0 94.513.760,0 86.825.344 125.406.592 11.204.488,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.434.496.032 10 143.449.603,0 141.004.624,0 90.544.096 219.143.872 48.871.222,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 956.519.552 10 95.651.955,0 92.557.392,0 86.859.168 123.497.024 10.258.473,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 982.119.872 10 98.211.987,0 92.451.072,0 86.875.552 150.015.232 18.453.896,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 998.494.880 10 99.849.488,0 93.800.272,0 86.825.280 153.331.136 19.326.276,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 945.121.472 10 94.512.147,0 91.988.608,0 86.875.520 118.077.216 8.622.248,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 916.413.408 10 91.641.340,0 91.673.152,0 86.920.512 98.590.272 3.009.487,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 915.562.912 10 91.556.291,0 91.547.792,0 86.822.496 98.558.016 3.029.692,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 948.421.760 10 94.842.176,0 92.412.640,0 86.696.640 117.568.096 8.543.541,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 997.640.256 10 99.764.025,0 92.663.376,0 85.721.504 159.707.968 21.733.979,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.084.927.296 10 108.492.729,0 95.097.888,0 86.852.512 175.105.856 31.995.396,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.149.995.616 10 114.999.561,0 92.489.136,0 86.906.464 172.609.792 32.888.305,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.167.896.064 10 116.789.606,0 91.622.608,0 86.920.576 201.772.224 43.707.505,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.016.831.808 10 101.683.180,0 93.866.336,0 86.668.064 157.918.720 20.774.701,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 953.526.336 10 95.352.633,0 92.452.336,0 86.914.080 122.507.872 10.005.279,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 981.941.888 10 98.194.188,0 92.596.704,0 86.944.032 128.968.704 13.091.670,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 943.667.488 10 94.366.748,0 92.059.680,0 86.821.312 114.044.448 7.400.580,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 973.125.504 10 97.312.550,0 93.679.120,0 86.882.144 120.529.824 10.436.752,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
