47,0 1.066.248.992 1.023 1.042.276,0 890.816,0 792.832 2.350.240 389.438,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.045.761.600 1.023 1.022.249,0 891.232,0 793.952 2.349.984 353.826,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 996.918.016 1.023 974.504,0 891.872,0 790.688 2.332.608 283.362,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.040.311.936 1.023 1.016.922,0 889.472,0 794.944 2.353.088 370.992,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.011.548.576 1.023 988.806,0 891.424,0 794.368 2.349.920 319.641,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.000.121.504 1.023 977.635,0 890.816,0 793.056 2.331.648 295.773,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.016.399.072 1.023 993.547,0 891.168,0 788.928 2.343.040 329.290,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.015.139.552 1.023 992.316,0 893.408,0 793.536 2.354.432 325.813,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.045.205.728 1.023 1.021.706,0 880.352,0 785.024 2.341.536 356.907,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.056.351.840 1.023 1.032.602,0 879.040,0 783.936 2.352.960 357.063,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.031.837.760 1.023 1.008.639,0 881.248,0 784.736 2.345.024 371.956,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.190.614.304 1.023 1.163.845,0 1.055.808,0 950.464 1.981.280 280.808,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.037.529.152 1.023 1.014.202,0 891.648,0 792.800 2.353.152 342.961,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.005.040.960 1.023 982.444,0 891.840,0 793.568 2.339.744 302.940,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.102.207.648 1.023 1.077.426,0 891.968,0 793.568 2.324.480 434.511,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.204.667.296 1.023 1.177.582,0 892.544,0 793.440 2.337.952 487.757,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.086.808.096 1.023 1.062.373,0 891.552,0 794.528 2.312.832 421.724,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.009.773.152 1.023 987.070,0 893.408,0 795.520 2.352.320 317.126,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.005.873.920 1.023 983.259,0 902.592,0 780.416 2.319.744 296.635,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.034.890.336 1.023 1.011.623,0 891.040,0 792.960 2.348.928 354.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.007.210.464 1.023 984.565,0 891.808,0 792.576 2.358.400 313.053,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.067.517.376 1.023 1.043.516,0 893.184,0 790.176 2.355.360 404.323,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.024.757.056 1.023 1.001.717,0 893.376,0 790.752 2.342.848 340.988,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.293.475.392 1.023 1.264.394,0 892.064,0 793.824 2.387.264 539.794,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.387.102.752 1.023 1.355.916,0 1.056.896,0 794.592 2.349.440 530.280,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.007.754.176 1.023 985.096,0 892.576,0 792.352 2.332.352 307.859,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 989.768.064 1.023 967.515,0 891.776,0 796.576 2.358.816 268.949,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.055.622.464 1.023 1.031.889,0 888.416,0 790.176 2.363.136 391.506,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.153.079.296 1.023 1.127.154,0 891.424,0 795.712 2.354.848 477.257,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 998.812.000 1.023 976.355,0 892.064,0 793.344 2.341.248 290.698,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.009.519.936 1.023 986.823,0 889.472,0 793.792 2.321.568 315.859,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.023.476.896 1.023 1.000.466,0 894.176,0 791.520 2.366.048 332.547,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 992.067.904 1.023 969.763,0 891.104,0 793.248 2.330.432 273.943,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 996.743.872 1.023 974.334,0 890.464,0 792.864 2.366.272 277.830,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.066.504.704 1.023 1.042.526,0 894.592,0 792.352 2.346.528 358.706,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.051.050.752 1.023 1.027.420,0 892.640,0 794.624 2.343.744 363.785,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 983.090.720 1.023 960.988,0 890.976,0 793.792 2.337.856 248.713,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.335.773.856 1.023 1.305.741,0 936.960,0 784.800 2.364.224 552.210,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.020.393.280 1.023 997.451,0 890.816,0 792.864 2.362.240 338.752,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.002.110.048 1.023 979.579,0 892.096,0 793.280 2.348.448 299.041,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.017.438.752 1.023 994.563,0 893.344,0 795.296 2.341.920 324.789,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.025.820.352 1.023 1.002.756,0 890.432,0 792.256 2.349.728 333.777,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.030.287.872 1.023 1.007.124,0 893.920,0 793.120 2.333.472 339.028,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.027.539.936 1.023 1.004.437,0 889.760,0 788.448 2.361.824 349.520,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.115.950.560 1.023 1.090.860,0 1.053.408,0 794.336 2.337.120 334.918,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 994.506.880 1.023 972.147,0 892.416,0 794.048 2.354.976 275.305,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.038.715.584 1.023 1.015.362,0 892.704,0 795.232 2.353.952 349.834,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.050.064.768 1.023 1.026.456,0 880.352,0 783.392 2.360.672 382.775,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.280.874.592 1.023 1.252.076,0 893.120,0 790.304 2.349.568 532.905,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.112.478.112 1.023 1.087.466,0 1.043.712,0 779.648 2.373.280 325.969,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.113.489.056 1.023 1.088.454,0 894.368,0 793.088 2.311.040 447.403,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.063.164.000 1.023 1.039.261,0 877.856,0 780.128 2.358.016 361.023,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.424.847.008 1.023 1.392.812,0 1.090.272,0 793.984 2.351.296 495.142,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.126.130.080 1.023 1.100.811,0 895.264,0 793.184 2.356.832 379.823,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.034.876.384 1.023 1.011.609,0 893.472,0 791.296 2.342.592 349.894,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 989.736.736 1.023 967.484,0 892.064,0 793.312 2.338.304 269.333,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 997.830.080 1.023 975.396,0 891.424,0 794.016 2.348.576 289.793,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.019.709.568 1.023 996.783,0 892.576,0 791.904 2.356.384 331.659,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.013.466.720 1.023 990.681,0 890.848,0 793.120 2.330.464 318.502,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 990.079.808 1.023 967.819,0 892.640,0 792.576 2.345.696 262.126,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.117.487.104 1.023 1.092.362,0 892.576,0 793.088 2.358.432 409.318,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.043.451.488 1.023 1.019.991,0 894.272,0 794.112 2.359.008 362.387,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.042.304.672 1.023 1.018.870,0 892.960,0 794.592 2.346.336 350.686,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.042.483.904 1.023 1.019.045,0 883.456,0 783.040 2.337.440 368.942,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.038.710.656 1.023 1.015.357,0 893.952,0 793.024 2.355.520 363.778,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
