1,0 44.320 2 22.160,0 22.160,0 18.208 26.112 5.589,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.536 2 22.768,0 22.768,0 18.112 27.424 6.584,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.224 2 22.112,0 22.112,0 17.792 26.432 6.109,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 73.920 2 36.960,0 36.960,0 33.952 39.968 4.254,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.832 2 22.416,0 22.416,0 18.560 26.272 5.453,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.344 2 22.672,0 22.672,0 18.208 27.136 6.313,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.568 2 22.784,0 22.784,0 18.656 26.912 5.837,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.056 2 22.528,0 22.528,0 18.144 26.912 6.199,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.504 2 22.752,0 22.752,0 18.624 26.880 5.837,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.928 2 22.464,0 22.464,0 17.792 27.136 6.607,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.680 2 39.840,0 39.840,0 36.064 43.616 5.340,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.736 2 22.368,0 22.368,0 18.112 26.624 6.018,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.440 2 22.720,0 22.720,0 18.080 27.360 6.562,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.504 2 22.752,0 22.752,0 18.528 26.976 5.973,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.600 2 22.800,0 22.800,0 18.368 27.232 6.267,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.576 2 22.288,0 22.288,0 18.112 26.464 5.905,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 78.304 2 39.152,0 39.152,0 35.552 42.752 5.091,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.672 2 22.336,0 22.336,0 17.760 26.912 6.471,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.728 2 22.864,0 22.864,0 18.592 27.136 6.041,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 78.752 2 39.376,0 39.376,0 35.616 43.136 5.317,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.024 2 22.512,0 22.512,0 18.496 26.528 5.679,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.352 2 22.176,0 22.176,0 17.856 26.496 6.109,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.728 2 22.864,0 22.864,0 18.688 27.040 5.905,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
