0.0 11008 2 5504.0 5504.0 3872 7136 2308.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20640 2 10320.0 10320.0 8448 12192 2647.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19520 2 9760.0 9760.0 7712 11808 2896.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19296 2 9648.0 9648.0 7584 11712 2918.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20352 2 10176.0 10176.0 7584 12768 3665.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20448 2 10224.0 10224.0 8000 12448 3145.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 10944 2 5472.0 5472.0 3808 7136 2353.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19840 2 9920.0 9920.0 7840 12000 2941.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19840 2 9920.0 9920.0 7552 12288 3348.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20128 2 10064.0 10064.0 7584 12544 3507.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19360 2 9680.0 9680.0 7648 11712 2873.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19872 2 9936.0 9936.0 8192 11680 2466.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20704 2 10352.0 10352.0 8320 12384 2873.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20672 2 10336.0 10336.0 8704 11968 2308.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19360 2 9680.0 9680.0 7648 11712 2873.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19680 2 9840.0 9840.0 8000 11680 2602.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19456 2 9728.0 9728.0 7584 11872 3032.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 16896 2 8448.0 8448.0 6880 10016 2217.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20000 2 10000.0 10000.0 8384 11616 2285.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19136 2 9568.0 9568.0 7520 11616 2896.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19328 2 9664.0 9664.0 7552 11776 2986.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19456 2 9728.0 9728.0 7712 11744 2851.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19296 2 9648.0 9648.0 7648 11648 2828.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20160 2 10080.0 10080.0 8480 11680 2262.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19744 2 9872.0 9872.0 7552 12192 3281.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19840 2 9920.0 9920.0 7616 12224 3258.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19744 2 9872.0 9872.0 7648 12096 3145.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 11136 2 5568.0 5568.0 3840 7296 2443.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20160 2 10080.0 10080.0 7936 12224 3032.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19456 2 9728.0 9728.0 7840 11616 2670.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20704 2 10352.0 10352.0 8608 12096 2466.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20288 2 10144.0 10144.0 8672 11616 2081.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19584 2 9792.0 9792.0 7744 11840 2896.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20864 2 10432.0 10432.0 8800 12064 2308.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19296 2 9648.0 9648.0 7584 11712 2918.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19808 2 9904.0 9904.0 7648 12160 3190.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20448 2 10224.0 10224.0 8576 11872 2330.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20448 2 10224.0 10224.0 7904 12544 3281.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19968 2 9984.0 9984.0 7968 12000 2851.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21184 2 10592.0 10592.0 8736 12448 2624.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20320 2 10160.0 10160.0 7584 12736 3643.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20256 2 10128.0 10128.0 8768 11488 1923.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20768 2 10384.0 10384.0 8128 12640 3190.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19328 2 9664.0 9664.0 7744 11584 2715.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20064 2 10032.0 10032.0 7584 12480 3462.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19392 2 9696.0 9696.0 7520 11872 3077.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20512 2 10256.0 10256.0 8832 11680 2013.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19296 2 9648.0 9648.0 7456 11840 3100.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20800 2 10400.0 10400.0 9024 11776 1946.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 11008 2 5504.0 5504.0 3808 7200 2398.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20608 2 10304.0 10304.0 8576 12032 2443.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20512 2 10256.0 10256.0 7616 12896 3733.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20128 2 10064.0 10064.0 7552 12576 3552.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20448 2 10224.0 10224.0 8672 11776 2194.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 14464 2 7232.0 7232.0 5728 8736 2127.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20192 2 10096.0 10096.0 8288 11904 2556.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19520 2 9760.0 9760.0 7520 12000 3167.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21280 2 10640.0 10640.0 8768 12512 2647.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20096 2 10048.0 10048.0 8416 11680 2308.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21952 2 10976.0 10976.0 8544 13408 3439.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20736 2 10368.0 10368.0 8608 12128 2489.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19424 2 9712.0 9712.0 7680 11744 2873.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19520 2 9760.0 9760.0 7648 11872 2986.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21248 2 10624.0 10624.0 8800 12448 2579.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20416 2 10208.0 10208.0 7552 12864 3756.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19520 2 9760.0 9760.0 7808 11712 2760.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20064 2 10032.0 10032.0 7488 12576 3597.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20704 2 10352.0 10352.0 8928 11776 2013.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20064 2 10032.0 10032.0 8352 11712 2375.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 14784 2 7392.0 7392.0 6144 8640 1764.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20608 2 10304.0 10304.0 8896 11712 1991.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19136 2 9568.0 9568.0 7552 11584 2851.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21120 2 10560.0 10560.0 8640 12480 2715.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19104 2 9552.0 9552.0 7552 11552 2828.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20544 2 10272.0 10272.0 8384 12160 2670.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 22496 2 11248.0 11248.0 7872 14624 4774.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21376 2 10688.0 10688.0 8672 12704 2851.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20320 2 10160.0 10160.0 8000 12320 3054.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19872 2 9936.0 9936.0 7552 12320 3371.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21408 2 10704.0 10704.0 8896 12512 2556.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21280 2 10640.0 10640.0 8768 12512 2647.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19648 2 9824.0 9824.0 7936 11712 2670.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20128 2 10064.0 10064.0 8192 11936 2647.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19456 2 9728.0 9728.0 7616 11840 2986.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20128 2 10064.0 10064.0 7552 12576 3552.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20352 2 10176.0 10176.0 8544 11808 2308.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20160 2 10080.0 10080.0 8512 11648 2217.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20640 2 10320.0 10320.0 8000 12640 3281.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20192 2 10096.0 10096.0 7744 12448 3326.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19840 2 9920.0 9920.0 8064 11776 2624.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20608 2 10304.0 10304.0 8512 12096 2534.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 14112 2 7056.0 7056.0 5760 8352 1832.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19776 2 9888.0 9888.0 7680 12096 3122.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20224 2 10112.0 10112.0 7552 12672 3620.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20576 2 10288.0 10288.0 8160 12416 3009.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19136 2 9568.0 9568.0 7584 11552 2805.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19712 2 9856.0 9856.0 8064 11648 2534.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19488 2 9744.0 9744.0 7616 11872 3009.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 11136 2 5568.0 5568.0 3904 7232 2353.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19584 2 9792.0 9792.0 7840 11744 2760.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19904 2 9952.0 9952.0 7584 12320 3348.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20352 2 10176.0 10176.0 8608 11744 2217.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19552 2 9776.0 9776.0 7584 11968 3100.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20096 2 10048.0 10048.0 7552 12544 3529.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19296 2 9648.0 9648.0 7584 11712 2918.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19232 2 9616.0 9616.0 7648 11584 2783.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 10976 2 5488.0 5488.0 3840 7136 2330.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20000 2 10000.0 10000.0 8288 11712 2421.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19488 2 9744.0 9744.0 7648 11840 2964.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19680 2 9840.0 9840.0 7648 12032 3100.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20256 2 10128.0 10128.0 7968 12288 3054.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 10976 2 5488.0 5488.0 3840 7136 2330.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20064 2 10032.0 10032.0 8416 11648 2285.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20128 2 10064.0 10064.0 8384 11744 2375.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21184 2 10592.0 10592.0 8736 12448 2624.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19936 2 9968.0 9968.0 7840 12096 3009.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19584 2 9792.0 9792.0 7840 11744 2760.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20384 2 10192.0 10192.0 8736 11648 2059.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19616 2 9808.0 9808.0 7552 12064 3190.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20736 2 10368.0 10368.0 8288 12448 2941.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 15040 2 7520.0 7520.0 6176 8864 1900.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20512 2 10256.0 10256.0 8512 12000 2466.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19520 2 9760.0 9760.0 7584 11936 3077.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19744 2 9872.0 9872.0 8000 11744 2647.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19488 2 9744.0 9744.0 7584 11904 3054.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19392 2 9696.0 9696.0 7584 11808 2986.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19168 2 9584.0 9584.0 7584 11584 2828.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21248 2 10624.0 10624.0 8384 12864 3167.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20064 2 10032.0 10032.0 8352 11712 2375.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19296 2 9648.0 9648.0 7584 11712 2918.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20480 2 10240.0 10240.0 8768 11712 2081.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
