6.2 34137632 100 341376.3 341392.0 339744 343232 649.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34128800 100 341288.0 341248.0 339552 342784 646.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34124896 100 341249.0 341360.0 339072 342464 641.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34143616 100 341436.2 341376.0 339872 343328 749.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34128000 100 341280.0 341344.0 339328 342592 708.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34132288 100 341322.9 341280.0 339712 343040 712.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34006752 100 340067.5 339792.0 337888 342912 1243.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34137792 100 341377.9 341376.0 339328 342912 694.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34133088 100 341330.9 341328.0 339712 343904 626.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34154208 100 341542.1 341504.0 339680 343456 658.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34129600 100 341296.0 341312.0 339648 342944 699.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34122304 100 341223.0 341216.0 339744 343168 619.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.9 32096256 100 320962.6 341136.0 203200 343136 48691.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34139616 100 341396.2 341520.0 339584 342752 671.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34151904 100 341519.0 341552.0 339904 343392 780.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.0 19770880 100 197708.8 197600.0 196256 200320 871.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34137824 100 341378.2 341424.0 339712 343584 675.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34126368 100 341263.7 341152.0 340064 342784 653.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.4 25706752 100 257067.5 203040.0 196800 342944 69038.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34128320 100 341283.2 341264.0 339936 343104 609.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 31317120 100 313171.2 341104.0 198656 342784 56582.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.0 19594976 100 195949.8 195840.0 193792 200704 1004.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34149280 100 341492.8 341376.0 340096 344064 760.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34143328 100 341433.3 341360.0 339776 343168 660.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34129792 100 341297.9 341248.0 339616 343424 732.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34136992 100 341369.9 341456.0 339488 342752 780.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34138016 100 341380.2 341424.0 339552 343264 703.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 32766176 100 327661.8 341376.0 201952 342944 41499.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 31803168 100 318031.7 341056.0 203808 342816 51650.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.9 32253984 100 322539.8 341248.0 204704 344544 47186.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34123488 100 341234.9 341152.0 339808 342656 696.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.9 34136864 100 341368.6 341312.0 339520 342976 707.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 33670464 100 336704.6 341392.0 195104 343264 25038.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34128960 100 341289.6 341136.0 339648 343808 802.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.6 25964416 100 259644.2 205600.0 195104 342208 70032.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34139808 100 341398.1 341376.0 339424 344288 749.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.9 31633568 100 316335.7 341152.0 199296 342944 53657.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34123840 100 341238.4 341248.0 339904 342976 583.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34128800 100 341288.0 341312.0 339840 342784 636.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
