0.0 75840 1 75840.0 75840.0 75840 75840 0.0 CUDA_KERNEL compress(long, float *)
0.0 77408 1 77408.0 77408.0 77408 77408 0.0 CUDA_KERNEL compress(long, float *)
0.0 77536 1 77536.0 77536.0 77536 77536 0.0 CUDA_KERNEL compress(long, float *)
0.0 80704 1 80704.0 80704.0 80704 80704 0.0 CUDA_KERNEL compress(long, float *)
0.0 73920 1 73920.0 73920.0 73920 73920 0.0 CUDA_KERNEL compress(long, float *)
0.0 81376 1 81376.0 81376.0 81376 81376 0.0 CUDA_KERNEL compress(long, float *)
0.0 77120 1 77120.0 77120.0 77120 77120 0.0 CUDA_KERNEL compress(long, float *)
0.0 76096 1 76096.0 76096.0 76096 76096 0.0 CUDA_KERNEL compress(long, float *)
0.0 79232 1 79232.0 79232.0 79232 79232 0.0 CUDA_KERNEL compress(long, float *)
0.0 76000 1 76000.0 76000.0 76000 76000 0.0 CUDA_KERNEL compress(long, float *)
0.0 76736 1 76736.0 76736.0 76736 76736 0.0 CUDA_KERNEL compress(long, float *)
0.0 76032 1 76032.0 76032.0 76032 76032 0.0 CUDA_KERNEL compress(long, float *)
0.0 74080 1 74080.0 74080.0 74080 74080 0.0 CUDA_KERNEL compress(long, float *)
0.0 76672 1 76672.0 76672.0 76672 76672 0.0 CUDA_KERNEL compress(long, float *)
0.0 77152 1 77152.0 77152.0 77152 77152 0.0 CUDA_KERNEL compress(long, float *)
0.0 75008 1 75008.0 75008.0 75008 75008 0.0 CUDA_KERNEL compress(long, float *)
0.0 51424 1 51424.0 51424.0 51424 51424 0.0 CUDA_KERNEL compress(long, float *)
0.0 75680 1 75680.0 75680.0 75680 75680 0.0 CUDA_KERNEL compress(long, float *)
0.0 76608 1 76608.0 76608.0 76608 76608 0.0 CUDA_KERNEL compress(long, float *)
0.0 74720 1 74720.0 74720.0 74720 74720 0.0 CUDA_KERNEL compress(long, float *)
0.0 76768 1 76768.0 76768.0 76768 76768 0.0 CUDA_KERNEL compress(long, float *)
0.0 77408 1 77408.0 77408.0 77408 77408 0.0 CUDA_KERNEL compress(long, float *)
0.0 76928 1 76928.0 76928.0 76928 76928 0.0 CUDA_KERNEL compress(long, float *)
0.0 77344 1 77344.0 77344.0 77344 77344 0.0 CUDA_KERNEL compress(long, float *)
0.0 78432 1 78432.0 78432.0 78432 78432 0.0 CUDA_KERNEL compress(long, float *)
0.0 77088 1 77088.0 77088.0 77088 77088 0.0 CUDA_KERNEL compress(long, float *)
0.0 75744 1 75744.0 75744.0 75744 75744 0.0 CUDA_KERNEL compress(long, float *)
0.0 77120 1 77120.0 77120.0 77120 77120 0.0 CUDA_KERNEL compress(long, float *)
0.0 78720 1 78720.0 78720.0 78720 78720 0.0 CUDA_KERNEL compress(long, float *)
0.0 78144 1 78144.0 78144.0 78144 78144 0.0 CUDA_KERNEL compress(long, float *)
0.0 43744 1 43744.0 43744.0 43744 43744 0.0 CUDA_KERNEL compress(long, float *)
0.0 77856 1 77856.0 77856.0 77856 77856 0.0 CUDA_KERNEL compress(long, float *)
0.0 78080 1 78080.0 78080.0 78080 78080 0.0 CUDA_KERNEL compress(long, float *)
0.0 76896 1 76896.0 76896.0 76896 76896 0.0 CUDA_KERNEL compress(long, float *)
0.0 76000 1 76000.0 76000.0 76000 76000 0.0 CUDA_KERNEL compress(long, float *)
0.0 78240 1 78240.0 78240.0 78240 78240 0.0 CUDA_KERNEL compress(long, float *)
0.0 79712 1 79712.0 79712.0 79712 79712 0.0 CUDA_KERNEL compress(long, float *)
0.0 76192 1 76192.0 76192.0 76192 76192 0.0 CUDA_KERNEL compress(long, float *)
0.0 76160 1 76160.0 76160.0 76160 76160 0.0 CUDA_KERNEL compress(long, float *)
0.0 78784 1 78784.0 78784.0 78784 78784 0.0 CUDA_KERNEL compress(long, float *)
0.0 76480 1 76480.0 76480.0 76480 76480 0.0 CUDA_KERNEL compress(long, float *)
0.0 78112 1 78112.0 78112.0 78112 78112 0.0 CUDA_KERNEL compress(long, float *)
0.0 78624 1 78624.0 78624.0 78624 78624 0.0 CUDA_KERNEL compress(long, float *)
0.0 80608 1 80608.0 80608.0 80608 80608 0.0 CUDA_KERNEL compress(long, float *)
0.0 76160 1 76160.0 76160.0 76160 76160 0.0 CUDA_KERNEL compress(long, float *)
0.0 75648 1 75648.0 75648.0 75648 75648 0.0 CUDA_KERNEL compress(long, float *)
0.0 77312 1 77312.0 77312.0 77312 77312 0.0 CUDA_KERNEL compress(long, float *)
0.0 77728 1 77728.0 77728.0 77728 77728 0.0 CUDA_KERNEL compress(long, float *)
0.0 76160 1 76160.0 76160.0 76160 76160 0.0 CUDA_KERNEL compress(long, float *)
0.0 78304 1 78304.0 78304.0 78304 78304 0.0 CUDA_KERNEL compress(long, float *)
0.0 76096 1 76096.0 76096.0 76096 76096 0.0 CUDA_KERNEL compress(long, float *)
0.0 75648 1 75648.0 75648.0 75648 75648 0.0 CUDA_KERNEL compress(long, float *)
0.0 80512 1 80512.0 80512.0 80512 80512 0.0 CUDA_KERNEL compress(long, float *)
0.0 76864 1 76864.0 76864.0 76864 76864 0.0 CUDA_KERNEL compress(long, float *)
0.0 78880 1 78880.0 78880.0 78880 78880 0.0 CUDA_KERNEL compress(long, float *)
0.0 70848 1 70848.0 70848.0 70848 70848 0.0 CUDA_KERNEL compress(long, float *)
0.0 73120 1 73120.0 73120.0 73120 73120 0.0 CUDA_KERNEL compress(long, float *)
0.0 74912 1 74912.0 74912.0 74912 74912 0.0 CUDA_KERNEL compress(long, float *)
0.0 74400 1 74400.0 74400.0 74400 74400 0.0 CUDA_KERNEL compress(long, float *)
0.0 78688 1 78688.0 78688.0 78688 78688 0.0 CUDA_KERNEL compress(long, float *)
0.0 77184 1 77184.0 77184.0 77184 77184 0.0 CUDA_KERNEL compress(long, float *)
0.0 75616 1 75616.0 75616.0 75616 75616 0.0 CUDA_KERNEL compress(long, float *)
0.0 79520 1 79520.0 79520.0 79520 79520 0.0 CUDA_KERNEL compress(long, float *)
0.0 75872 1 75872.0 75872.0 75872 75872 0.0 CUDA_KERNEL compress(long, float *)
0.0 78336 1 78336.0 78336.0 78336 78336 0.0 CUDA_KERNEL compress(long, float *)
0.0 76288 1 76288.0 76288.0 76288 76288 0.0 CUDA_KERNEL compress(long, float *)
0.0 77664 1 77664.0 77664.0 77664 77664 0.0 CUDA_KERNEL compress(long, float *)
0.0 79712 1 79712.0 79712.0 79712 79712 0.0 CUDA_KERNEL compress(long, float *)
0.0 76000 1 76000.0 76000.0 76000 76000 0.0 CUDA_KERNEL compress(long, float *)
0.0 72992 1 72992.0 72992.0 72992 72992 0.0 CUDA_KERNEL compress(long, float *)
0.0 79456 1 79456.0 79456.0 79456 79456 0.0 CUDA_KERNEL compress(long, float *)
0.0 78752 1 78752.0 78752.0 78752 78752 0.0 CUDA_KERNEL compress(long, float *)
0.0 73216 1 73216.0 73216.0 73216 73216 0.0 CUDA_KERNEL compress(long, float *)
0.0 80544 1 80544.0 80544.0 80544 80544 0.0 CUDA_KERNEL compress(long, float *)
0.0 77408 1 77408.0 77408.0 77408 77408 0.0 CUDA_KERNEL compress(long, float *)
0.0 73856 1 73856.0 73856.0 73856 73856 0.0 CUDA_KERNEL compress(long, float *)
0.0 76192 1 76192.0 76192.0 76192 76192 0.0 CUDA_KERNEL compress(long, float *)
0.0 75840 1 75840.0 75840.0 75840 75840 0.0 CUDA_KERNEL compress(long, float *)
0.0 83488 1 83488.0 83488.0 83488 83488 0.0 CUDA_KERNEL compress(long, float *)
0.0 75488 1 75488.0 75488.0 75488 75488 0.0 CUDA_KERNEL compress(long, float *)
0.0 41952 1 41952.0 41952.0 41952 41952 0.0 CUDA_KERNEL compress(long, float *)
0.0 40192 1 40192.0 40192.0 40192 40192 0.0 CUDA_KERNEL compress(long, float *)
0.0 79264 1 79264.0 79264.0 79264 79264 0.0 CUDA_KERNEL compress(long, float *)
0.0 76768 1 76768.0 76768.0 76768 76768 0.0 CUDA_KERNEL compress(long, float *)
0.0 74208 1 74208.0 74208.0 74208 74208 0.0 CUDA_KERNEL compress(long, float *)
0.0 77472 1 77472.0 77472.0 77472 77472 0.0 CUDA_KERNEL compress(long, float *)
0.0 42816 1 42816.0 42816.0 42816 42816 0.0 CUDA_KERNEL compress(long, float *)
0.0 41856 1 41856.0 41856.0 41856 41856 0.0 CUDA_KERNEL compress(long, float *)
0.0 78592 1 78592.0 78592.0 78592 78592 0.0 CUDA_KERNEL compress(long, float *)
0.0 76608 1 76608.0 76608.0 76608 76608 0.0 CUDA_KERNEL compress(long, float *)
0.0 76096 1 76096.0 76096.0 76096 76096 0.0 CUDA_KERNEL compress(long, float *)
0.0 75744 1 75744.0 75744.0 75744 75744 0.0 CUDA_KERNEL compress(long, float *)
0.0 77376 1 77376.0 77376.0 77376 77376 0.0 CUDA_KERNEL compress(long, float *)
0.0 77600 1 77600.0 77600.0 77600 77600 0.0 CUDA_KERNEL compress(long, float *)
0.0 77152 1 77152.0 77152.0 77152 77152 0.0 CUDA_KERNEL compress(long, float *)
0.0 76640 1 76640.0 76640.0 76640 76640 0.0 CUDA_KERNEL compress(long, float *)
0.0 78624 1 78624.0 78624.0 78624 78624 0.0 CUDA_KERNEL compress(long, float *)
0.0 73792 1 73792.0 73792.0 73792 73792 0.0 CUDA_KERNEL compress(long, float *)
0.0 77248 1 77248.0 77248.0 77248 77248 0.0 CUDA_KERNEL compress(long, float *)
0.0 75680 1 75680.0 75680.0 75680 75680 0.0 CUDA_KERNEL compress(long, float *)
0.0 77216 1 77216.0 77216.0 77216 77216 0.0 CUDA_KERNEL compress(long, float *)
0.0 82112 1 82112.0 82112.0 82112 82112 0.0 CUDA_KERNEL compress(long, float *)
0.0 76320 1 76320.0 76320.0 76320 76320 0.0 CUDA_KERNEL compress(long, float *)
0.0 76864 1 76864.0 76864.0 76864 76864 0.0 CUDA_KERNEL compress(long, float *)
0.0 78048 1 78048.0 78048.0 78048 78048 0.0 CUDA_KERNEL compress(long, float *)
0.0 76096 1 76096.0 76096.0 76096 76096 0.0 CUDA_KERNEL compress(long, float *)
0.0 78496 1 78496.0 78496.0 78496 78496 0.0 CUDA_KERNEL compress(long, float *)
0.0 77440 1 77440.0 77440.0 77440 77440 0.0 CUDA_KERNEL compress(long, float *)
0.0 75264 1 75264.0 75264.0 75264 75264 0.0 CUDA_KERNEL compress(long, float *)
0.0 76096 1 76096.0 76096.0 76096 76096 0.0 CUDA_KERNEL compress(long, float *)
0.0 77216 1 77216.0 77216.0 77216 77216 0.0 CUDA_KERNEL compress(long, float *)
0.0 41632 1 41632.0 41632.0 41632 41632 0.0 CUDA_KERNEL compress(long, float *)
0.0 76448 1 76448.0 76448.0 76448 76448 0.0 CUDA_KERNEL compress(long, float *)
0.0 76256 1 76256.0 76256.0 76256 76256 0.0 CUDA_KERNEL compress(long, float *)
0.0 77408 1 77408.0 77408.0 77408 77408 0.0 CUDA_KERNEL compress(long, float *)
0.0 75872 1 75872.0 75872.0 75872 75872 0.0 CUDA_KERNEL compress(long, float *)
0.0 40576 1 40576.0 40576.0 40576 40576 0.0 CUDA_KERNEL compress(long, float *)
0.0 78272 1 78272.0 78272.0 78272 78272 0.0 CUDA_KERNEL compress(long, float *)
0.0 78976 1 78976.0 78976.0 78976 78976 0.0 CUDA_KERNEL compress(long, float *)
0.0 78944 1 78944.0 78944.0 78944 78944 0.0 CUDA_KERNEL compress(long, float *)
0.0 77728 1 77728.0 77728.0 77728 77728 0.0 CUDA_KERNEL compress(long, float *)
0.0 75232 1 75232.0 75232.0 75232 75232 0.0 CUDA_KERNEL compress(long, float *)
0.0 76544 1 76544.0 76544.0 76544 76544 0.0 CUDA_KERNEL compress(long, float *)
0.0 77152 1 77152.0 77152.0 77152 77152 0.0 CUDA_KERNEL compress(long, float *)
0.0 77920 1 77920.0 77920.0 77920 77920 0.0 CUDA_KERNEL compress(long, float *)
0.0 81024 1 81024.0 81024.0 81024 81024 0.0 CUDA_KERNEL compress(long, float *)
0.0 78272 1 78272.0 78272.0 78272 78272 0.0 CUDA_KERNEL compress(long, float *)
0.0 79392 1 79392.0 79392.0 79392 79392 0.0 CUDA_KERNEL compress(long, float *)
0.0 80000 1 80000.0 80000.0 80000 80000 0.0 CUDA_KERNEL compress(long, float *)
0.0 78336 1 78336.0 78336.0 78336 78336 0.0 CUDA_KERNEL compress(long, float *)
0.0 70944 1 70944.0 70944.0 70944 70944 0.0 CUDA_KERNEL compress(long, float *)
0.0 76864 1 76864.0 76864.0 76864 76864 0.0 CUDA_KERNEL compress(long, float *)
0.0 76704 1 76704.0 76704.0 76704 76704 0.0 CUDA_KERNEL compress(long, float *)
0.0 76192 1 76192.0 76192.0 76192 76192 0.0 CUDA_KERNEL compress(long, float *)
0.0 78720 1 78720.0 78720.0 78720 78720 0.0 CUDA_KERNEL compress(long, float *)
0.0 72064 1 72064.0 72064.0 72064 72064 0.0 CUDA_KERNEL compress(long, float *)
0.0 77664 1 77664.0 77664.0 77664 77664 0.0 CUDA_KERNEL compress(long, float *)
0.0 81728 1 81728.0 81728.0 81728 81728 0.0 CUDA_KERNEL compress(long, float *)
0.0 75264 1 75264.0 75264.0 75264 75264 0.0 CUDA_KERNEL compress(long, float *)
0.0 80096 1 80096.0 80096.0 80096 80096 0.0 CUDA_KERNEL compress(long, float *)
0.0 77152 1 77152.0 77152.0 77152 77152 0.0 CUDA_KERNEL compress(long, float *)
0.0 44736 1 44736.0 44736.0 44736 44736 0.0 CUDA_KERNEL compress(long, float *)
